year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,school_id
"2019","240048001446","A. Mario Loiederman Middle","MD","Montgomery County Public Schools","Middle","Regular school","No","39.0652","-77.0708","01446"
"2019","240009000143","Abbottston Elementary","MD","Baltimore City Public Schools","Primary","Regular school","No","39.325","-76.5994","00143"
"2019","240039000679","Aberdeen High","MD","Harford County Public Schools","High","Regular school","No","39.5163","-76.1711","00679"
"2019","240039000678","Aberdeen Middle","MD","Harford County Public Schools","Middle","Regular school","No","39.5155","-76.1648","00678"
"2019","240039000162","Abingdon Elementary","MD","Harford County Public Schools","Primary","Regular school","No","39.4771","-76.3254","00162"
"2019","240009001381","Academy for College and Career Exploration","MD","Baltimore City Public Schools","High","Regular school","No","39.3308","-76.6378","01381"
"2019","240051001704","Academy of Health Sciences at PGCC","MD","Prince Georges County Public Schools","High","Regular school","No","38.886849","-76.830282","01704"
"2019","240036000662","Accident Elementary","MD","Garrett County Public Schools","Primary","Regular school","No","39.62634","-79.310801","00662"
"2019","240051001686","Accokeek Academy","MD","Prince Georges County Public Schools","Primary","Regular school","No","38.68788","-76.978821","01686"
"2019","240009000236","Achievement Academy at Harbor City High","MD","Baltimore City Public Schools","High","Other/alternative school","No","39.366066","-76.571382","00236"
"2019","240051000965","Adelphi Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","39.0003","-76.974","00965"
"2019","240012000910","Afternoon Group Learning Centers","MD","Baltimore County Public Schools","Missing/not reported","Other/alternative school","No","39.39939","-76.606131","00910"
"2019","240009001661","Afya Public Charter School","MD","Baltimore City Public Schools","Middle","Regular school","Yes","39.324238","-76.572477","01661"
"2019","240048000773","Albert Einstein High","MD","Montgomery County Public Schools","High","Regular school","No","39.0391","-77.0673","00773"
"2019","240009000145","Alexander Hamilton Elementary","MD","Baltimore City Public Schools","Primary","Regular school","No","39.2976","-76.6658","00145"
"2019","240003000001","Allegany High","MD","Allegany County Public Schools","High","Regular school","No","39.655804","-78.795466","00001"
"2019","240051000966","Allenwood Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","38.803","-76.9302","00966"
"2019","240048001451","Alternative Programs","MD","Montgomery County Public Schools","High","Other/alternative school","No","39.095067","-77.12243","01451"
"2019","240051001683","Andrew Jackson Academy","MD","Prince Georges County Public Schools","Primary","Regular school","No","38.840964","-76.908318","01683"
"2019","240006000035","Annapolis Elementary","MD","Anne Arundel County Public Schools","Primary","Regular school","No","38.976716","-76.487931","00035"
"2019","240006000037","Annapolis High","MD","Anne Arundel County Public Schools","High","Regular school","No","38.9745","-76.5656","00037"
"2019","240006000036","Annapolis Middle","MD","Anne Arundel County Public Schools","Middle","Regular school","No","38.958048","-76.511464","00036"
"2019","240051000865","Annapolis Road Academy","MD","Prince Georges County Public Schools","Secondary","Other/alternative school","No","38.9195","-76.7589","00865"
"2019","240006000899","Anne Arundel Evening High","MD","Anne Arundel County Public Schools","High","Other/alternative school","No","39.076619","-76.558282","00899"
"2019","240051000969","Apple Grove Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","38.7893","-76.9628","00969"
