year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,school_id
"2019","370001201488","A G Cox Middle","NC","Pitt County Schools","Middle","Regular school","No","35.5245","-77.4011","01488"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","New Hanover County Schools","Primary","Regular school","No","34.2396","-77.9203","01392"
"2019","370243001039","A L Brown High","NC","Kannapolis City Schools","High","Regular school","No","35.4962","-80.6186","01039"
"2019","370348001441","A L Stanback Middle","NC","Orange County Schools","Middle","Regular school","No","36.0271","-79.0779","01441"
"2019","370053000208","A T Allen Elementary","NC","Cabarrus County Schools","Primary","Regular school","No","35.362379","-80.512966","00208"
"2019","370037203324","A.C.E. Academy","NC","A.C.E. Academy","Primary","Regular school","Yes","35.30778","-80.672891","03324"
"2019","370472003241","Abbotts Creek Elementary","NC","Wake County Schools","Primary","Regular school","No","35.90278","-78.578001","03241"
"2019","370309001315","Aberdeen Elementary","NC","Moore County Schools","Primary","Regular school","No","35.1397","-79.426","01315"
"2019","370309001314","Aberdeen Primary","NC","Moore County Schools","Primary","Regular school","No","35.1241","-79.4234","01314"
"2019","370003002972","ABSS Early College at ACC","NC","Alamance-Burlington Schools","High","Regular school","No","36.0665","-79.3577","02972"
"2019","370192002889","Academy at Smith","NC","Guilford County Schools","High","Regular school","No","36.0345","-79.8478","02889"
"2019","370045903534","Achievement Charter Academy","NC","Achievement Charter Academy","Missing/not reported","Regular school","Yes","35.525961","-78.812816","03534"
"2019","370096000357","Acme Delco Elementary","NC","Columbus County Schools","Primary","Regular school","No","34.3478","-78.2543","00357"
"2019","370096000358","Acme Delco Middle","NC","Columbus County Schools","Middle","Regular school","No","34.3159","-78.2162","00358"
"2019","370472001826","Adams Elementary","NC","Wake County Schools","Primary","Regular school","No","35.7769","-78.7622","01826"
"2019","370465001993","AdVance Academy","NC","Vance County Schools","High","Other/alternative school","No","36.327653","-78.399392","01993"
"2019","370231003432","Agriculture and Science Early College","NC","Iredell-Statesville Schools","High","Regular school","No","35.930408","-80.867739","03432"
"2019","370216000931","Ahoskie Elementary","NC","Hertford County Schools","Primary","Regular school","No","36.2916","-76.9948","00931"
"2019","370046703528","Alamance Community School","NC","Alamance Community School","Missing/not reported","Regular school","Yes","36.07369","-79.275523","03528"
"2019","370192000814","Alamance Elementary","NC","Guilford County Schools","Primary","Regular school","No","36.0177","-79.7086","00814"
"2019","370432000022","Albemarle High","NC","Stanly County Schools","High","Regular school","No","35.371228","-80.193145","00022"
"2019","370432000023","Albemarle Middle","NC","Stanly County Schools","Middle","Regular school","No","35.3537","-80.1684","00023"
"2019","370297001186","Albemarle Road Elementary","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","35.1971","-80.7295","01186"
"2019","370297001187","Albemarle Road Middle","NC","Charlotte-Mecklenburg Schools","Middle","Regular school","No","35.198649","-80.729013","01187"
"2019","370331000380","Albert H Bangert Elementary","NC","Craven County Schools","Primary","Regular school","No","35.0832","-77.0834","00380"
"2019","370001100414","Alderman Road Elementary","NC","Cumberland County Schools","Primary","Regular school","No","34.8952","-78.8603","00414"
"2019","370009000028","Alexander Central High","NC","Alexander County Schools","High","Regular school","No","35.917","-81.1889","00028"
"2019","370009003396","Alexander Early College","NC","Alexander County Schools","High","Regular school","No","35.910603","-81.181434","03396"
"2019","370297001188","Alexander Graham Middle","NC","Charlotte-Mecklenburg Schools","Middle","Regular school","No","35.1667","-80.832716","01188"
"2019","370003000001","Alexander Wilson Elementary","NC","Alamance-Burlington Schools","Primary","Regular school","No","36.0297","-79.3467","00001"
"2019","370001102981","Alger B. Wilkins High School","NC","Cumberland County Schools","High","Other/alternative school","No","35.083313","-78.951917","02981"
"2019","370012000037","Alleghany High","NC","Alleghany County Schools","High","Regular school","No","36.5099","-81.1254","00037"
"2019","370192000817","Allen Jay Elementary","NC","Guilford County Schools","Primary","Regular school","No","35.9323","-79.9556","00817"
"2019","370192003295","Allen Jay Middle - A Preparatory Academy","NC","Guilford County Schools","Middle","Regular school","No","35.9246","-79.9607","03295"
"2019","370192000757","Allen Middle","NC","Guilford County Schools","Middle","Regular school","No","36.0109","-79.8241","00757"
"2019","370297001190","Allenbrook Elementary","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","35.2618","-80.915","01190"
"2019","370001102119","Alma O Easom Elementary","NC","Cumberland County Schools","Primary","Regular school","No","35.0608","-78.9085","02119"
"2019","370010302511","Alpha Academy","NC","Alpha Academy","Other","Regular school","Yes","35.03427","-79.067271","02511"
"2019","370472003214","Alston Ridge Elementary","NC","Wake County Schools","Primary","Regular school","No","35.8596","-78.8991","03214"
"2019","370472003491","Alston Ridge Middle","NC","Wake County Schools","Middle","Regular school","No","35.855081","-78.904451","03491"
"2019","370003000002","Altamahaw-Ossipee Elementary","NC","Alamance-Burlington Schools","Primary","Regular school","No","36.1796","-79.5105","00002"
"2019","370008602465","American Renaissance School","NC","American Renaissance School","Primary","Regular school","Yes","35.7847","-80.8868","02465"
"2019","370038103322","Anderson Creek Academy","NC","Anderson Creek Academy","Primary","Regular school","Yes","35.27789","-78.977101","03322"
"2019","370201000874","Anderson Creek Primary","NC","Harnett County Schools","Primary","Regular school","No","35.2818","-78.9172","00874"
"2019","370078000317","Andrews Elementary","NC","Cherokee County Schools","Primary","Regular school","No","35.1983","-83.8253","00317"
"2019","370078000318","Andrews High","NC","Cherokee County Schools","High","Regular school","No","35.1954","-83.8244","00318"
"2019","370078001820","Andrews Middle","NC","Cherokee County Schools","Middle","Regular school","No","35.1949","-83.7977","01820"
"2019","370201000875","Angier Elementary","NC","Harnett County Schools","Primary","Regular school","No","35.5029","-78.7363","00875"
"2019","370001100406","Anne Chesnutt Middle","NC","Cumberland County Schools","Middle","Regular school","No","35.0509","-78.9731","00406"
"2019","370018002367","Anson Academy","NC","Anson County Schools","High","Other/alternative school","No","34.961473","-80.079635","02367"
"2019","370043703462","Anson Charter Academy","NC","Anson Charter Academy","Missing/not reported","Regular school","Yes","35.7527","-78.6431","03462"
"2019","370018002748","Anson Co. Early College High","NC","Anson County Schools","High","Regular school","No","35.000452","-80.211222","02748"
"2019","370018002054","Anson High School","NC","Anson County Schools","High","Regular school","No","34.9774","-80.1028","02054"
"2019","370018002056","Anson Middle","NC","Anson County Schools","Middle","Regular school","No","34.9892","-80.0894","02056"
"2019","370018000042","Ansonville Elementary","NC","Anson County Schools","Primary","Regular school","No","35.1054","-80.1064","00042"
"2019","370462002740","Antioch Elementary","NC","Union County Public Schools","Primary","Regular school","No","35.0588","-80.7228","02740"
"2019","370472001827","Apex Elementary","NC","Wake County Schools","Primary","Regular school","No","35.721","-78.857","01827"
"2019","370472003351","Apex Friendship High","NC","Wake County Schools","High","Regular school","No","35.7003","-78.910731","03351"
"2019","370472003470","Apex Friendship Middle","NC","Wake County Schools","Middle","Regular school","No","35.700865","-78.908041","03470"
"2019","370472001829","Apex High","NC","Wake County Schools","High","Regular school","No","35.74501","-78.837554","01829"
"2019","370472001828","Apex Middle","NC","Wake County Schools","Middle","Regular school","No","35.726","-78.8484","01828"
"2019","370042703457","Appalachian Academy at Middle Fork","NC","Appalachian State U Academy Middle Fork","Primary","Regular school","No","36.14139","-80.168251","03457"
"2019","370210000797","Apple Valley Middle","NC","Henderson County Schools","Middle","Regular school","No","35.3619","-82.4219","00797"
"2019","370043903463","Apprentice Academy High School","NC","Apprentice Academy HS of NC","Secondary","Regular school","Yes","35.017756","-80.58433","03463"
"2019","370432001707","Aquadale Elementary","NC","Stanly County Schools","Primary","Regular school","No","35.229","-80.2236","01707"
"2019","370003802343","Arapahoe Charter School","NC","Arapahoe Charter School","Other","Regular school","Yes","35.0123","-76.8212","02343"
"2019","370378001514","Archdale Elementary","NC","Randolph County School System","Primary","Regular school","No","35.9126","-79.9751","01514"
"2019","370378001515","Archdale-Trinity Middle","NC","Randolph County School System","Middle","Regular school","No","35.8862","-79.9541","01515"
"2019","370192000758","Archer Elementary","NC","Guilford County Schools","Primary","Regular school","No","36.0307","-79.8305","00758"
"2019","370237002998","Archer Lodge Middle","NC","Johnston County Public Schools","Middle","Regular school","No","35.7032","-78.3661","02998"
"2019","370297002910","Ardrey Kell High","NC","Charlotte-Mecklenburg Schools","High","Regular school","No","35.02999","-80.82665","02910"
"2019","370035003296","Aristotle Preparatory Academy","NC","Aristotle Preparatory Academy","Primary","Regular school","Yes","35.305537","-80.95235","03296"
"2019","370001102085","Armstrong Elementary","NC","Cumberland County Schools","Primary","Regular school","No","35.0915","-78.7904","02085"
"2019","370331002181","Arthur W Edwards Elementary","NC","Craven County Schools","Primary","Regular school","No","34.9101","-76.9281","02181"
"2019","370011702569","ArtSpace Charter School","NC","ArtSpace Charter","Primary","Regular school","Yes","35.5947","-82.4287","02569"
"2019","370268002392","Asbury Academy","NC","Lincoln County Schools","High","Other/alternative school","No","35.478229","-81.207864","02392"
"2019","370043803459","Ascend Leadership Academy: Lee County","NC","Ascend Leadership Academy: Lee County","Middle","Regular school","Yes","35.434482","-79.12533","03459"
"2019","370162000663","Ashbrook High","NC","Gaston County Schools","High","Regular school","No","35.2431","-81.1272","00663"
"2019","370021003474","Ashe County Early College High","NC","Ashe County Schools","Secondary","Regular school","No","36.394244","-81.476089","03474"
"2019","370021002425","Ashe County High","NC","Ashe County Schools","High","Regular school","No","36.3925","-81.479","02425"
"2019","370021002426","Ashe County Middle","NC","Ashe County Schools","Middle","Regular school","No","36.4643","-81.5101","02426"
"2019","370024000062","Asheboro High","NC","Asheboro City Schools","High","Regular school","No","35.6893","-79.8184","00062"
"2019","370027000070","Asheville High","NC","Asheville City Schools","High","Regular school","No","35.5729","-82.5531","00070"
"2019","370027000079","Asheville Middle","NC","Asheville City Schools","Middle","Regular school","No","35.586731","-82.560101","00079"
"2019","370027003436","Asheville Primary","NC","Asheville City Schools","Primary","Regular school","No","35.578284","-82.581575","03436"
"2019","370150002446","Ashley Academy","NC","Winston Salem / Forsyth County Schools","Primary","Regular school","No","36.1177","-80.2217","02446"
"2019","370387000788","Ashley Chapel Educational Center","NC","Richmond County Schools","High","Other/alternative school","No","34.897049","-79.784233","00788"
"2019","370001100394","Ashley Elementary","NC","Cumberland County Schools","Primary","Regular school","No","35.0387","-78.9068","00394"
"2019","370297001192","Ashley Park PreK-8 School","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","35.2327","-80.8907","01192"
"2019","370472001830","Athens Drive High","NC","Wake County Schools","High","Regular school","No","35.7687","-78.7113","01830"
"2019","370150003176","Atkins Academic & Tech High","NC","Winston Salem / Forsyth County Schools","High","Regular school","No","36.1102","-80.1954","03176"
"2019","370210002094","Atkinson Elementary","NC","Henderson County Schools","Primary","Regular school","No","35.284","-82.4927","02094"
"2019","370063000249","Atlantic Elementary","NC","Carteret County Public Schools","Primary","Regular school","No","34.8831","-76.3424","00249"
"2019","370003002501","Audrey W. Garrett Elementary","NC","Alamance-Burlington Schools","Primary","Regular school","No","36.0616","-79.2974","02501"
"2019","370036000104","Aulander Elementary","NC","Bertie County Schools","Primary","Regular school","No","36.2144","-77.1061","00104"
"2019","370195000856","Aurelian Springs Institute of Global Lea","NC","Halifax County Schools","Primary","Regular school","No","36.3639","-77.8083","00856"
"2019","370472001831","Aversboro Elementary","NC","Wake County Schools","Primary","Regular school","No","35.6888","-78.6162","01831"
"2019","370030000081","Avery County High","NC","Avery County Schools","High","Regular school","No","36.067608","-81.919724","00081"
"2019","370030003229","Avery High STEM Academy","NC","Avery County Schools","Missing/not reported","Regular school","No","36.067608","-81.919724","03229"
"2019","370030003230","Avery High Viking Academy","NC","Avery County Schools","Missing/not reported","Regular school","No","36.067608","-81.919724","03230"
"2019","370030000085","Avery Middle","NC","Avery County Schools","Middle","Regular school","No","36.067352","-81.91638","00085"
"2019","370045001781","Averys Creek Elementary","NC","Buncombe County Schools","Primary","Regular school","No","35.4776","-82.5792","01781"
"2019","370465001812","Aycock Elementary","NC","Vance County Schools","Primary","Regular school","No","36.3211","-78.3613","01812"
"2019","370001201489","Ayden Elementary","NC","Pitt County Schools","Primary","Regular school","No","35.4755","-77.4322","01489"
"2019","370001201490","Ayden Middle","NC","Pitt County Schools","Middle","Regular school","No","35.4714","-77.4345","01490"
"2019","370001201491","Ayden-Grifton High","NC","Pitt County Schools","High","Regular school","No","35.4303","-77.432","01491"
"2019","370033001360","B C Ed Tech Center","NC","Beaufort County Schools","High","Other/alternative school","No","35.5442","-77.0487","01360"
"2019","370120000492","B F Grady Elementary","NC","Duplin County Schools","Primary","Regular school","No","35.0572","-77.8288","00492"
"2019","370502001992","B O Barnes Elementary","NC","Wilson County Schools","Primary","Regular school","No","35.7133","-77.8864","01992"
"2019","370003000003","B. Everett Jordan Elementary","NC","Alamance-Burlington Schools","Primary","Regular school","No","35.9398","-79.3268","00003"
"2019","370044403502","B.L.U.E.-G.R.E.E.N. Academy","NC","B.L.U.E.-G.R.E.E.N. Academy","Middle","Regular school","Yes","36.050232","-80.221443","03502"
"2019","370432001708","Badin Elementary","NC","Stanly County Schools","Primary","Regular school","No","35.4021","-80.1148","01708"
"2019","370327001341","Bailey Elementary","NC","Nash-Rocky Mount Schools","Primary","Regular school","No","35.782","-78.1154","01341"
"2019","370297002870","Bailey Middle","NC","Charlotte-Mecklenburg Schools","Middle","Regular school","No","35.4675","-80.838","02870"
"2019","370472002006","Baileywick Road Elementary","NC","Wake County Schools","Primary","Regular school","No","35.9094","-78.665","02006"
"2019","370297001193","Bain Elementary","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","35.17497","-80.648406","01193"
"2019","370507002023","Bald Creek Elementary","NC","Yancey County Schools","Missing/not reported","Regular school","No","35.9129","-82.4236","02023"
"2019","370024000064","Balfour Elementary","NC","Asheboro City Schools","Primary","Regular school","No","35.7456","-79.8217","00064"
"2019","370297003026","Ballantyne Elementary","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","35.037348","-80.856091","03026"
"2019","370472002652","Ballentine Elementary","NC","Wake County Schools","Primary","Regular school","No","35.613785","-78.770636","02652"
"2019","370069000273","Balls Creek Elementary","NC","Catawba County Schools","Primary","Regular school","No","35.6298","-81.1279","00273"
"2019","370069000274","Bandys High","NC","Catawba County Schools","High","Regular school","No","35.6452","-81.0856","00274"
"2019","370261001086","Banks Elementary","NC","Lenoir County Public Schools","Primary","Regular school","No","35.2816","-77.6795","01086"
"2019","370472003132","Banks Road Elementary","NC","Wake County Schools","Primary","Regular school","No","35.631701","-78.709633","03132"
"2019","370030000082","Banner Elk Elementary","NC","Avery County Schools","Primary","Regular school","No","36.148912","-81.857786","00082"
"2019","370069000275","Banoak Elementary","NC","Catawba County Schools","Primary","Regular school","No","35.582207","-81.416602","00275"
"2019","370045001003","Barnardsville Elementary","NC","Buncombe County Schools","Primary","Regular school","No","35.7753","-82.46","01003"
"2019","370297003023","Barnette Elementary","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","35.3998","-80.9249","03023"
"2019","370297001194","Barringer Academic Center","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","35.2104","-80.8888","01194"
"2019","370066000264","Bartlett Yancey High","NC","Caswell County Schools","High","Regular school","No","36.4033","-79.3273","00264"
"2019","370472002854","Barwell Road Elementary","NC","Wake County Schools","Primary","Regular school","No","35.732","-78.5514","02854"
"2019","370327000703","Baskerville Elementary","NC","Nash-Rocky Mount Schools","Primary","Regular school","No","35.9503","-77.7716","00703"
"2019","370033000091","Bath Elementary","NC","Beaufort County Schools","Primary","Regular school","No","35.4754","-76.8109","00091"
"2019","370058000221","Baton Elementary","NC","Caldwell County Schools","Primary","Regular school","No","35.8088","-81.536","00221"
"2019","370268001108","Battleground Elementary","NC","Lincoln County Schools","Primary","Regular school","No","35.47876","-81.264081","01108"
"2019","370472001834","Baucom Elementary","NC","Wake County Schools","Primary","Regular school","No","35.737","-78.8543","01834"
"2019","370032203260","Bear Grass Charter School","NC","Bear Grass Charter School","High","Regular school","Yes","35.768117","-77.127255","03260"
"2019","370216002526","Bearfield Primary","NC","Hertford County Schools","Primary","Regular school","No","36.29675","-76.993823","02526"
"2019","370033003011","Beaufort Co Early College High","NC","Beaufort County Schools","High","Regular school","No","35.5336","-76.9654","03011"
"2019","370063000250","Beaufort Elementary","NC","Carteret County Public Schools","Primary","Regular school","No","34.73","-76.6443","00250"
"2019","370063000251","Beaufort Middle","NC","Carteret County Public Schools","Middle","Regular school","No","34.7297","-76.6469","00251"
