year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,school_status,lowest_grade_offered,highest_grade_offered,enrollment,title_i_status,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual,lunch_program,teachers_fte,school_id,seasch,city_location,zip_location,latitude,longitude,urban_centric_locale,congress_district_id,state_leg_district_lower,state_leg_district_upper,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,direct_certification
"2018","240048001446","A. Mario Loiederman Middle","MD","Montgomery County Public Schools","Middle","Regular school","No","Open","6","8","986","School is eligible for Title I Schoolwide program (SWP) but provides no program","Yes","Yes","Yes","No","No","Yes participating without using any Provision or the CEP","67","01446","15-150787","Silver Spring","20906","39.06519","-77.070755","Suburb, large","2408","24019","24019","438","118","556",""
"2018","240009000143","Abbottston Elementary","MD","Baltimore City Public Schools","Primary","Regular school","No","Open","Pre-K","5","325","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under the Community Eligibility Provision (CEP)","25","00143","30-300050","Baltimore","21218","39.325007","-76.599438","City, large","2407","24043","24043","325","0","325","242"
"2018","240039000679","Aberdeen High","MD","Harford County Public Schools","High","Regular school","No","Open","9","12","1458","School is eligible for Title I Schoolwide program (SWP) but provides no program","Yes","Yes","Yes","No","No","Yes participating without using any Provision or the CEP","92","00679","12-120270","Aberdeen","21001","39.516307","-76.171125","Suburb, midsize","2402","2434A","24034","537","124","661",""
"2018","240039000678","Aberdeen Middle","MD","Harford County Public Schools","Middle","Regular school","No","Open","6","8","1144","School is eligible for Title I Schoolwide program (SWP) but provides no program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","78","00678","12-120265","Aberdeen","21001","39.515535","-76.164804","Suburb, midsize","2402","2434A","24034","550","126","676",""
"2018","240039000162","Abingdon Elementary","MD","Harford County Public Schools","Primary","Regular school","No","Open","Pre-K","5","775","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes participating without using any Provision or the CEP","50","00162","12-120123","Abingdon","21009","39.477149","-76.325399","Suburb, midsize","2401","2434B","24034","197","54","251",""
"2018","240009001381","Academy for College and Career Exploration","MD","Baltimore City Public Schools","High","Regular school","No","Open","6","12","541","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under the Community Eligibility Provision (CEP)","36","01381","30-300427","Baltimore","21211","39.330807","-76.637774","City, large","2403","24040","24040","541","0","541","367"
"2018","240051001704","Academy of Health Sciences at PGCC","MD","Prince Georges County Public Schools","High","Regular school","No","Open","9","12","518","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","Yes","No","No","Yes participating without using any Provision or the CEP","21","01704","16-161350","Largo","20774","38.886849","-76.830282","Suburb, large","2404","24025","24025","170","67","237",""
"2018","240036000662","Accident Elementary","MD","Garrett County Public Schools","Primary","Regular school","No","Open","Pre-K","5","259","School is eligible for Title I Schoolwide program (SWP) but provides no program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","17","00662","11-110501","Accident","21520","39.62634","-79.310801","Rural, distant","2406","2401A","24001","74","18","92",""
"2018","240051001686","Accokeek Academy","MD","Prince Georges County Public Schools","Primary","Regular school","No","Open","Kindergarten","8","1589","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","Yes","No","No","Yes participating without using any Provision or the CEP","87","01686","16-160509","Accokeek","20607","38.68788","-76.978821","Rural, fringe","2405","2427A","24027","477","131","608",""
"2018","240009000236","Achievement Academy @ Harbor City High","MD","Baltimore City Public Schools","High","Other/alternative school","No","Open","9","12","411","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes under the Community Eligibility Provision (CEP)","23","00236","30-300413","Baltimore","21214","39.36573","-76.569931","City, large","2407","24043","24043","411","0","411","298"
