year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,school_status,lowest_grade_offered,highest_grade_offered,enrollment,title_i_status,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual,lunch_program,teachers_fte,school_id,seasch,city_location,zip_location,latitude,longitude,urban_centric_locale,congress_district_id,state_leg_district_lower,state_leg_district_upper,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,direct_certification
"2018","370001201488","A G Cox Middle","NC","Pitt County Schools","Middle","Regular school","No","Open","6","8","805","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","Supplemental virtual","Yes participating without using any Provision or the CEP","46","01488","740-302","Winterville","28590","35.524531","-77.401058","Suburb, midsize","3703","37009","37005","360","29","389",""
"2018","370333001392","A H Snipes Academy of Arts/Des","NC","New Hanover County Schools","Primary","Regular school","No","Open","Kindergarten","5","391","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","Yes","No","No","Yes participating without using any Provision or the CEP","35","01392","650-384","Wilmington","28405","34.239649","-77.92034","City, midsize","3707","37018","37009","388","0","388",""
"2018","370243001039","A L Brown High","NC","Kannapolis City Schools","High","Regular school","No","Open","9","12","1616","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes participating without using any Provision or the CEP","98","01039","132-304","Kannapolis","28083","35.496219","-80.618591","Suburb, midsize","3708","37082","37036","1608","0","1608",""
"2018","370348001441","A L Stanback Middle","NC","Orange County Schools","Middle","Regular school","No","Open","6","8","648","School is eligible for Title I Schoolwide program (SWP) but provides no program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","45","01441","680-304","Hillsborough","27278","36.027141","-79.077917","Rural, fringe","3704","37050","37023","294","32","326",""
"2018","370053000208","A T Allen Elementary","NC","Cabarrus County Schools","Primary","Regular school","No","Open","Kindergarten","5","873","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","55","00208","130-304","Concord","28025","35.362379","-80.512966","Rural, fringe","3708","37083","37036","435","60","495",""
"2018","370472003241","Abbotts Creek Elementary","NC","Wake County Schools","Primary","Regular school","No","Open","Pre-K","5","858","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes participating without using any Provision or the CEP","53","03241","920-303","Raleigh","27614","35.90278","-78.578001","City, large","3702","37035","37014","172","36","208",""
"2018","370309001315","Aberdeen Elementary","NC","Moore County Schools","Primary","Regular school","No","Open","3","5","297","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","23","01315","630-308","Aberdeen","28315","35.139737","-79.426019","Town, distant","3708","37052","37025","230","15","245",""
"2018","370309001314","Aberdeen Primary","NC","Moore County Schools","Primary","Regular school","No","Open","Pre-K","2","308","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","22","01314","630-304","Aberdeen","28315","35.124057","-79.423412","Town, distant","3708","37052","37025","238","4","242",""
"2018","370003002972","ABSS Early College at ACC","NC","Alamance-Burlington Schools","High","Regular school","No","Open","9","13","228","School is eligible for Title I Schoolwide program (SWP) but provides no program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","6","02972","010-303","Graham","27253","36.066506","-79.357746","Rural, fringe","3706","37063","37024","77","22","99",""
"2018","370192002889","Academy at Smith","NC","Guilford County Schools","High","Regular school","No","Open","9","12","185","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","Yes","No","No","Yes participating without using any Provision or the CEP","16","02889","410-545","Greensboro","27407","36.034498","-79.847798","City, large","3713","37058","37028","123","24","147",""
"2018","370096000357","Acme Delco Elementary","NC","Columbus County Schools","Primary","Regular school","No","Open","Pre-K","5","318","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","21","00357","240-308","Riegelwood","28456","34.347773","-78.254261","Rural, distant","3707","37016","37013","315","0","315",""
"2018","370096000358","Acme Delco Middle","NC","Columbus County Schools","Middle","Regular school","No","Open","6","8","131","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","9","00358","240-304","Delco","28436","34.315912","-78.216164","Rural, distant","3707","37016","37013","128","0","128",""
"2018","370472001826","Adams Elementary","NC","Wake County Schools","Primary","Regular school","No","Open","Pre-K","5","652","School is eligible for Title I Schoolwide program (SWP) but provides no program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","44","01826","920-304","Cary","27511","35.776913","-78.762189","Suburb, large","3704","37011","37016","265","42","307",""
"2018","370465001993","AdVance Academy","NC","Vance County Schools","High","Other/alternative school","No","Open","6","12","136","School is eligible for Title I Schoolwide program (SWP) but provides no program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","9","01993","910-368","Henderson","27536","36.327653","-78.399392","Town, distant","3701","37032","37003","133","0","133",""
"2018","370231003432","Agriculture and Science Early College","NC","Iredell-Statesville Schools","High","Regular school","No","Open","9","12","153","School is eligible for Title I Targeted Assistance (TAS) but provides no program","Yes","No","No","No","Supplemental virtual","Yes participating without using any Provision or the CEP","5","03432","490-307","Olin","28660","35.930408","-80.867739","Rural, distant","3713","37084","37034","34","9","43",""
"2018","370216000931","Ahoskie Elementary","NC","Hertford County Schools","Primary","Regular school","No","Open","4","5","296","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","19","00931","460-308","Ahoskie","27910","36.291567","-76.994838","Town, distant","3701","37005","37001","293","0","293",""
"2018","370192000814","Alamance Elementary","NC","Guilford County Schools","Primary","Regular school","No","Open","Pre-K","5","525","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes participating without using any Provision or the CEP","32","00814","410-304","Greensboro","27406","36.017732","-79.708593","Suburb, large","3713","37059","37027","166","29","195",""
