year,ncessch,school_name,state_location,sex,enrollment
"2018","370001201488","A G Cox Middle","NC","Total","805"
"2018","370001201488","A G Cox Middle","NC","Unknown","0"
"2018","370001201488","A G Cox Middle","NC","Female","367"
"2018","370001201488","A G Cox Middle","NC","Male","438"
"2018","370333001392","A H Snipes Academy of Arts/Des","NC","Total","391"
"2018","370333001392","A H Snipes Academy of Arts/Des","NC","Unknown","0"
"2018","370333001392","A H Snipes Academy of Arts/Des","NC","Female","186"
"2018","370333001392","A H Snipes Academy of Arts/Des","NC","Male","205"
"2018","370243001039","A L Brown High","NC","Total","1616"
"2018","370243001039","A L Brown High","NC","Unknown","0"
"2018","370243001039","A L Brown High","NC","Female","764"
"2018","370243001039","A L Brown High","NC","Male","852"
"2018","370348001441","A L Stanback Middle","NC","Total","648"
"2018","370348001441","A L Stanback Middle","NC","Unknown","0"
"2018","370348001441","A L Stanback Middle","NC","Female","305"
"2018","370348001441","A L Stanback Middle","NC","Male","343"
"2018","370053000208","A T Allen Elementary","NC","Total","873"
"2018","370053000208","A T Allen Elementary","NC","Unknown","0"
"2018","370053000208","A T Allen Elementary","NC","Female","408"
"2018","370053000208","A T Allen Elementary","NC","Male","465"
"2018","370037203324","A.C.E. Academy","NC","Total","409"
"2018","370037203324","A.C.E. Academy","NC","Unknown","0"
"2018","370037203324","A.C.E. Academy","NC","Female","200"
"2018","370037203324","A.C.E. Academy","NC","Male","209"
"2018","370472003241","Abbotts Creek Elementary","NC","Total","858"
"2018","370472003241","Abbotts Creek Elementary","NC","Unknown","0"
"2018","370472003241","Abbotts Creek Elementary","NC","Female","376"
"2018","370472003241","Abbotts Creek Elementary","NC","Male","482"
"2018","370309001315","Aberdeen Elementary","NC","Total","297"
"2018","370309001315","Aberdeen Elementary","NC","Unknown","0"
"2018","370309001315","Aberdeen Elementary","NC","Female","137"
"2018","370309001315","Aberdeen Elementary","NC","Male","160"
"2018","370309001314","Aberdeen Primary","NC","Total","308"
"2018","370309001314","Aberdeen Primary","NC","Unknown","0"
"2018","370309001314","Aberdeen Primary","NC","Female","133"
"2018","370309001314","Aberdeen Primary","NC","Male","175"
"2018","370003002972","ABSS Early College at ACC","NC","Total","228"
"2018","370003002972","ABSS Early College at ACC","NC","Unknown","0"
"2018","370003002972","ABSS Early College at ACC","NC","Female","133"
"2018","370003002972","ABSS Early College at ACC","NC","Male","95"
"2018","370192002889","Academy at Smith","NC","Total","185"
"2018","370192002889","Academy at Smith","NC","Unknown","0"
"2018","370192002889","Academy at Smith","NC","Female","98"
"2018","370192002889","Academy at Smith","NC","Male","87"
"2018","370096000357","Acme Delco Elementary","NC","Total","318"
"2018","370096000357","Acme Delco Elementary","NC","Unknown","0"
"2018","370096000357","Acme Delco Elementary","NC","Female","155"
"2018","370096000357","Acme Delco Elementary","NC","Male","163"
"2018","370096000358","Acme Delco Middle","NC","Total","131"
"2018","370096000358","Acme Delco Middle","NC","Unknown","0"
"2018","370096000358","Acme Delco Middle","NC","Female","57"
"2018","370096000358","Acme Delco Middle","NC","Male","74"
"2018","370472001826","Adams Elementary","NC","Total","652"
"2018","370472001826","Adams Elementary","NC","Unknown","0"
"2018","370472001826","Adams Elementary","NC","Female","308"
"2018","370472001826","Adams Elementary","NC","Male","344"
"2018","370465001993","AdVance Academy","NC","Total","136"
"2018","370465001993","AdVance Academy","NC","Unknown","0"
"2018","370465001993","AdVance Academy","NC","Female","53"
"2018","370465001993","AdVance Academy","NC","Male","83"
"2018","370231003432","Agriculture and Science Early College","NC","Total","153"
"2018","370231003432","Agriculture and Science Early College","NC","Unknown","0"
"2018","370231003432","Agriculture and Science Early College","NC","Female","89"
"2018","370231003432","Agriculture and Science Early College","NC","Male","64"
"2018","370216000931","Ahoskie Elementary","NC","Total","296"
"2018","370216000931","Ahoskie Elementary","NC","Unknown","0"
"2018","370216000931","Ahoskie Elementary","NC","Female","145"
"2018","370216000931","Ahoskie Elementary","NC","Male","151"
"2018","370192000814","Alamance Elementary","NC","Total","525"
"2018","370192000814","Alamance Elementary","NC","Unknown","0"
"2018","370192000814","Alamance Elementary","NC","Female","277"
"2018","370192000814","Alamance Elementary","NC","Male","248"
"2018","370432000022","Albemarle High","NC","Total","410"
"2018","370432000022","Albemarle High","NC","Unknown","0"
"2018","370432000022","Albemarle High","NC","Female","189"
"2018","370432000022","Albemarle High","NC","Male","221"
"2018","370432000023","Albemarle Middle","NC","Total","369"
"2018","370432000023","Albemarle Middle","NC","Unknown","0"
"2018","370432000023","Albemarle Middle","NC","Female","178"
"2018","370432000023","Albemarle Middle","NC","Male","191"
"2018","370297001186","Albemarle Road Elementary","NC","Total","885"
"2018","370297001186","Albemarle Road Elementary","NC","Unknown","0"
"2018","370297001186","Albemarle Road Elementary","NC","Female","401"
"2018","370297001186","Albemarle Road Elementary","NC","Male","484"
"2018","370297001187","Albemarle Road Middle","NC","Total","1154"
"2018","370297001187","Albemarle Road Middle","NC","Unknown","0"
"2018","370297001187","Albemarle Road Middle","NC","Female","553"
"2018","370297001187","Albemarle Road Middle","NC","Male","601"
"2018","370331000380","Albert H Bangert Elementary","NC","Total","440"
"2018","370331000380","Albert H Bangert Elementary","NC","Unknown","0"
"2018","370331000380","Albert H Bangert Elementary","NC","Female","222"
"2018","370331000380","Albert H Bangert Elementary","NC","Male","218"
"2018","370001100414","Alderman Road Elementary","NC","Total","700"
"2018","370001100414","Alderman Road Elementary","NC","Unknown","0"
"2018","370001100414","Alderman Road Elementary","NC","Female","346"
"2018","370001100414","Alderman Road Elementary","NC","Male","354"
"2018","370009000028","Alexander Central High","NC","Total","1219"
"2018","370009000028","Alexander Central High","NC","Unknown","0"
"2018","370009000028","Alexander Central High","NC","Female","596"
"2018","370009000028","Alexander Central High","NC","Male","623"
"2018","370009003396","Alexander Early College","NC","Total","195"
"2018","370009003396","Alexander Early College","NC","Unknown","0"
"2018","370009003396","Alexander Early College","NC","Female","109"
"2018","370009003396","Alexander Early College","NC","Male","86"
"2018","370297001188","Alexander Graham Middle","NC","Total","1420"
"2018","370297001188","Alexander Graham Middle","NC","Unknown","0"
"2018","370297001188","Alexander Graham Middle","NC","Female","701"
"2018","370297001188","Alexander Graham Middle","NC","Male","719"
"2018","370003000001","Alexander Wilson Elementary","NC","Total","626"
"2018","370003000001","Alexander Wilson Elementary","NC","Unknown","0"
"2018","370003000001","Alexander Wilson Elementary","NC","Female","297"
"2018","370003000001","Alexander Wilson Elementary","NC","Male","329"
"2018","370001102981","Alger B. Wilkins High School","NC","Total","139"
"2018","370001102981","Alger B. Wilkins High School","NC","Unknown","0"
"2018","370001102981","Alger B. Wilkins High School","NC","Female","75"
"2018","370001102981","Alger B. Wilkins High School","NC","Male","64"
"2018","370012000037","Alleghany High","NC","Total","434"
"2018","370012000037","Alleghany High","NC","Unknown","0"
"2018","370012000037","Alleghany High","NC","Female","221"
"2018","370012000037","Alleghany High","NC","Male","213"
"2018","370192000817","Allen Jay Elementary","NC","Total","474"
"2018","370192000817","Allen Jay Elementary","NC","Unknown","0"
"2018","370192000817","Allen Jay Elementary","NC","Female","239"
"2018","370192000817","Allen Jay Elementary","NC","Male","235"
"2018","370192003295","Allen Jay Middle - A Preparatory Academy","NC","Total","407"
"2018","370192003295","Allen Jay Middle - A Preparatory Academy","NC","Unknown","0"
"2018","370192003295","Allen Jay Middle - A Preparatory Academy","NC","Female","221"
"2018","370192003295","Allen Jay Middle - A Preparatory Academy","NC","Male","186"
"2018","370192000757","Allen Middle","NC","Total","742"
"2018","370192000757","Allen Middle","NC","Unknown","0"
"2018","370192000757","Allen Middle","NC","Female","347"
"2018","370192000757","Allen Middle","NC","Male","395"
"2018","370297001190","Allenbrook Elementary","NC","Total","282"
"2018","370297001190","Allenbrook Elementary","NC","Unknown","0"
"2018","370297001190","Allenbrook Elementary","NC","Female","124"
"2018","370297001190","Allenbrook Elementary","NC","Male","158"
"2018","370001102119","Alma O Easom Elementary","NC","Total","296"
"2018","370001102119","Alma O Easom Elementary","NC","Unknown","0"
"2018","370001102119","Alma O Easom Elementary","NC","Female","131"
"2018","370001102119","Alma O Easom Elementary","NC","Male","165"
"2018","370010302511","Alpha Academy","NC","Total","844"
"2018","370010302511","Alpha Academy","NC","Unknown","0"
"2018","370010302511","Alpha Academy","NC","Female","431"
"2018","370010302511","Alpha Academy","NC","Male","413"
"2018","370472003214","Alston Ridge Elementary","NC","Total","1066"
"2018","370472003214","Alston Ridge Elementary","NC","Unknown","0"
"2018","370472003214","Alston Ridge Elementary","NC","Female","514"
"2018","370472003214","Alston Ridge Elementary","NC","Male","552"
"2018","370003000002","Altamahaw-Ossipee Elementary","NC","Total","622"
"2018","370003000002","Altamahaw-Ossipee Elementary","NC","Unknown","0"
"2018","370003000002","Altamahaw-Ossipee Elementary","NC","Female","300"
"2018","370003000002","Altamahaw-Ossipee Elementary","NC","Male","322"
"2018","370008602465","American Renaissance School","NC","Total","551"
"2018","370008602465","American Renaissance School","NC","Unknown","0"
"2018","370008602465","American Renaissance School","NC","Female","289"
"2018","370008602465","American Renaissance School","NC","Male","262"
"2018","370038103322","Anderson Creek Academy","NC","Total","254"
"2018","370038103322","Anderson Creek Academy","NC","Unknown","0"
"2018","370038103322","Anderson Creek Academy","NC","Female","128"
