year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,school_status,lowest_grade_offered,highest_grade_offered,enrollment,title_i_status,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual,lunch_program,teachers_fte,school_id,seasch,city_location,zip_location,latitude,longitude,urban_centric_locale,congress_district_id,state_leg_district_lower,state_leg_district_upper,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,direct_certification
"2018","450144000199","A. C. Corcoran Elementary","SC","Charleston 01","Primary","Regular school","No","Open","Pre-K","5","779","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under the Community Eligibility Provision (CEP)","46","00199","1001-036","North Charleston","29406","32.96049","-80.059616","City, midsize","4501","45117","45042","779","","779","435"
"2018","450336000952","A. C. Flora High","SC","Richland 01","High","Regular school","No","Open","9","12","1455","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Supplemental virtual","Yes under the Community Eligibility Provision (CEP)","90","00952","4001-007","Columbia","29204","34.016993","-80.983355","Suburb, large","4502","45075","45022","1455","","1455","363"
"2018","450336000926","A. C. Moore Elementary","SC","Richland 01","Primary","Regular school","No","Open","Pre-K","5","329","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes under the Community Eligibility Provision (CEP)","33","00926","4001-048","Columbia","29205","33.986518","-81.009977","City, midsize","4502","45072","45020","329","","329","147"
"2018","450336000919","A. J. Lewis Greenview Elementary","SC","Richland 01","Primary","Regular school","No","Open","Pre-K","5","359","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under the Community Eligibility Provision (CEP)","28","00919","4001-038","Columbia","29203","34.068893","-80.994253","City, midsize","4506","45073","45019","359","","359","238"
"2018","450072001702","A. L. Corbett Middle","SC","Aiken 01","Middle","Regular school","No","New","6","8","194","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","Supplemental virtual","Yes under the Community Eligibility Provision (CEP)","14","01702","0201-063","Wagener","29164","33.659364","-81.365361","Rural, distant","4502","45086","45026","194","","194","3"
"2018","450258001260","A. R. Rucker Middle","SC","Lancaster 01","Middle","Regular school","No","Open","6","8","562","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Supplemental virtual","Yes participating without using any Provision or the CEP","40","01260","2901-003","Lancaster","29720","34.718574","-80.738237","Rural, fringe","4505","45044","45016","360","36","396","258"
"2018","450231001551","A.J. Whittenburg Elementary","SC","Greenville 01","Primary","Regular school","No","Open","Pre-K","5","537","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes participating without using any Provision or the CEP","32","01551","2301-119","Greenville","29601","34.848479","-82.410076","City, small","4504","45023","45007","256","31","287","223"
"2018","450069001188","Abbeville County Career Center","SC","Abbeville 60","High","Vocational school","No","Open","10","12","0","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","Supplemental virtual","Yes participating without using any Provision or the CEP","6","01188","0160-995","Abbeville","29620","34.166861","-82.41277","Rural, fringe","4503","45011","45010","0","0","0","3"
"2018","450069000011","Abbeville High","SC","Abbeville 60","High","Regular school","No","Open","9","12","479","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Supplemental virtual","Yes participating without using any Provision or the CEP","32","00011","0160-001","Abbeville","29620","34.187425","-82.374457","Rural, fringe","4503","45011","45010","262","30","292","167"
"2018","450360001503","Abner Creek Academy","SC","Spartanburg 05","Primary","Regular school","No","Open","Pre-K","4","625","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","Yes","No","No","Yes participating without using any Provision or the CEP","45","01503","4205-094","Duncan","29334","34.869583","-82.163731","Rural, fringe","4504","45035","45012","168","60","228","136"
"2018","450144000168","Academic Magnet High","SC","Charleston 01","High","Regular school","No","Open","9","12","655","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","Yes","No","Supplemental virtual","Yes participating without using any Provision or the CEP","38","00168","1001-099","North Charleston","29405","32.88428","-80.000996","City, midsize","4506","45113","45042","15","5","20","14"
"2018","450249000647","Academy For Arts/Science/Technology","SC","Horry 01","High","Vocational school","No","Open","9","12","0","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","Yes","Yes","Supplemental virtual","Yes participating without using any Provision or the CEP","43","00647","2601-996","Myrtle Beach","29579","33.764574","-78.86704","Suburb, midsize","4507","45056","45033","0","0","0","3"
"2018","450390800767","Academy for Careers and Technology","SC","Marion 10","High","Vocational school","No","Open","9","12","0","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","Supplemental virtual","Yes under the Community Eligibility Provision (CEP)","10","00767","3410-995","Mullins","29574","34.186434","-79.340149","Rural, fringe","4507","45057","45030","0","0","0","3"
"2018","450249001037","Academy for Technology and Academics","SC","Horry 01","High","Vocational school","No","Open","9","12","0","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","Supplemental virtual","Yes participating without using any Provision or the CEP","50","01037","2601-998","Conway","29526","33.948675","-79.028569","Rural, fringe","4507","45105","45028","0","0","0","3"
"2018","450072000058","Aiken County Career Center","SC","Aiken 01","High","Vocational school","No","Open","10","12","0","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","Supplemental virtual","Yes participating without using any Provision or the CEP","15","00058","0201-995","Warrenville","29851","33.528246","-81.843496","Rural, fringe","4502","45084","45025","0","0","0","3"
"2018","450072001189","Aiken Elementary","SC","Aiken 01","Primary","Regular school","No","Open","Pre-K","5","727","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","49","01189","0201-016","Aiken","29803","33.527753","-81.76501","Suburb, large","4502","45081","45024","421","23","444","373"
