year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,school_status,lowest_grade_offered,highest_grade_offered,enrollment,title_i_status,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual,lunch_program,teachers_fte,school_id,seasch,city_location,zip_location,latitude,longitude,urban_centric_locale,congress_district_id,state_leg_district_lower,state_leg_district_upper,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,direct_certification
"2018","470333001977","A H Roberts Elementary","TN","Overton County","Primary","Regular school","No","Open","Pre-K","4","370","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","27","01977","00670-0065","Livingston","38570","36.387276","-85.31972","Town, remote","4706","47041","47015","","","","142"
"2018","470222000076","A L Lotts Elementary","TN","Knox County","Primary","Regular school","No","Open","Pre-K","5","971","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes participating without using any Provision or the CEP","54","00076","00470-0066","Knoxville","37922","35.882519","-84.083215","Suburb, large","4702","47014","47006","","","","97"
"2018","470014801011","A. B. Hill Elementary","TN","Shelby County","Primary","Regular school","No","Open","Pre-K","6","300","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","Yes","No","Yes under the Community Eligibility Provision (CEP)","26","01011","00792-2005","Memphis","38106","35.11004","-90.051057","City, large","4709","47090","47030","","","","259"
"2018","470014801939","A. Maceo Walker Middle","TN","Shelby County","Middle","Regular school","No","Open","6","10","740","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under the Community Eligibility Provision (CEP)","35","01939","00792-2740","Memphis","38116","35.0365","-90.0011","City, large","4709","47087","47029","","","","594"
"2018","470318002116","A. Z. Kelley Elementary","TN","Davidson County","Primary","Regular school","No","Open","Pre-K","4","835","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under the Community Eligibility Provision (CEP)","58","02116","00190-0001","Antioch","37013","36.021806","-86.659107","City, large","4705","47053","47021","","","","306"
"2018","470219000710","Abraham Lincoln Elementary School","TN","Kingsport","Primary","Regular school","No","Open","Pre-K","5","434","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","Yes","No","Yes under the Community Eligibility Provision (CEP)","30","00710","00822-0030","Kingsport","37664","36.539199","-82.539905","City, small","4701","47002","47004","","","","250"
"2018","470288000997","Adamsville Elementary","TN","McNairy County","Primary","Regular school","No","Open","Pre-K","6","530","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under the Community Eligibility Provision (CEP)","37","00997","00550-0005","Adamsville","38310","35.232928","-88.386709","Rural, distant","4707","47094","47026","","","","180"
"2018","470288000998","Adamsville Junior / Senior High School","TN","McNairy County","High","Regular school","No","Open","7","12","716","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes under the Community Eligibility Provision (CEP)","48","00998","00550-0010","Adamsville","38310","35.221913","-88.417242","Rural, distant","4707","47094","47026","","","","177"
"2018","470222000717","Adrian Burnett Elementary","TN","Knox County","Primary","Regular school","No","Open","Pre-K","5","528","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under the Community Eligibility Provision (CEP)","38","00717","00470-0003","Knoxville","37918","36.065834","-83.908199","Suburb, large","4702","47016","47006","","","","215"
"2018","470003000001","Alamo Elementary","TN","Alamo","Primary","Regular school","No","Open","Pre-K","6","642","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under Provision 2","41","00001","00171-0005","Alamo","38001","35.783854","-89.112332","Town, distant","4708","47082","47027","","","","247"
"2018","470006000234","Alcoa Elementary","TN","Alcoa","Primary","Regular school","No","Open","Pre-K","2","489","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","31","00234","00051-0005","Alcoa","37701","35.792621","-83.974523","Suburb, large","4702","47008","47002","","","","167"
"2018","470006000235","Alcoa High School","TN","Alcoa","High","Regular school","No","Open","9","12","682","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Supplemental virtual","Yes participating without using any Provision or the CEP","39","00235","00051-0010","Alcoa","37701","35.789316","-83.981614","Suburb, large","4702","47008","47002","","","","149"
"2018","470006002445","Alcoa Intermediate School","TN","Alcoa","Primary","Regular school","No","Open","3","5","435","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","23","02445","00051-0012","Alcoa","37701","35.791447","-83.978406","Suburb, large","4702","47008","47002","","","","124"
"2018","470006000236","Alcoa Middle School","TN","Alcoa","Middle","Regular school","No","Open","6","8","489","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes participating without using any Provision or the CEP","25","00236","00051-0006","Alcoa","37701","35.79198","-83.980171","Suburb, large","4702","47008","47002","","","","121"
"2018","470014801013","Alcy Elementary","TN","Shelby County","Primary","Regular school","No","Closed","Pre-K","5","","","","","","","","","","01013","00792-2015","Memphis","38114","35.079012","-90.004542","City, large","4709","47091","47029","","","",""
"2018","470318001254","Alex Green Elementary","TN","Davidson County","Primary","Regular school","No","Open","Pre-K","4","260","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under the Community Eligibility Provision (CEP)","22","01254","00190-0005","Whites Creek","37189","36.253521","-86.832561","Rural, fringe","4705","47054","47019","","","","170"
"2018","470258000648","Alexander Elementary School","TN","Madison County","Primary","Regular school","No","Open","Pre-K","6","378","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","Yes","No","No","Yes under the Community Eligibility Provision (CEP)","20","00648","00570-0006","Jackson","38301","35.629354","-88.816803","City, small","4708","47080","47027","","","","238"
"2018","470348002195","Algood Elementary","TN","Putnam County","Primary","Regular school","No","Open","Pre-K","4","577","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","34","02195","00710-0005","Algood","38506","36.177287","-85.452871","Town, remote","4706","47042","47015","","","","173"
"2018","470348001901","Algood Middle School","TN","Putnam County","Middle","Regular school","No","Open","5","8","767","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","Supplemental virtual","Yes participating without using any Provision or the CEP","45","01901","00710-0008","Cookeville","38506","36.175816","-85.453036","Town, remote","4706","47042","47015","","","","244"
"2018","470123000373","Allardt Elementary","TN","Fentress County","Primary","Regular school","No","Open","Pre-K","8","383","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes under the Community Eligibility Provision (CEP)","25","00373","00250-0005","Allardt","38504","36.377974","-84.880114","Rural, remote","4706","47038","47012","","","","135"
"2018","470159000489","Allen Elementary","TN","Hamilton County","Primary","Regular school","No","Open","Pre-K","5","498","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","Yes participating without using any Provision or the CEP","32","00489","00330-0005","Soddy Daisy","37379","35.237356","-85.151874","Suburb, large","4703","47027","47011","","","","102"
"2018","470453002244","Allendale Elementary School","TN","Williamson County","Primary","Regular school","No","Open","Kindergarten","5","746","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes participating without using any Provision or the CEP","60","02244","00940-0004","Spring Hill","37174","35.75618","-86.89439","Town, fringe","4707","47065","47023","","","","18"
