year,ncessch,school_name,state_location,sex,enrollment
"2018","470333001977","A H Roberts Elementary","TN","Total","370"
"2018","470333001977","A H Roberts Elementary","TN","Unknown","0"
"2018","470333001977","A H Roberts Elementary","TN","Female","170"
"2018","470333001977","A H Roberts Elementary","TN","Male","200"
"2018","470222000076","A L Lotts Elementary","TN","Total","971"
"2018","470222000076","A L Lotts Elementary","TN","Unknown","0"
"2018","470222000076","A L Lotts Elementary","TN","Female","457"
"2018","470222000076","A L Lotts Elementary","TN","Male","514"
"2018","470014801011","A. B. Hill Elementary","TN","Total","300"
"2018","470014801011","A. B. Hill Elementary","TN","Unknown","0"
"2018","470014801011","A. B. Hill Elementary","TN","Female","142"
"2018","470014801011","A. B. Hill Elementary","TN","Male","158"
"2018","470014801939","A. Maceo Walker Middle","TN","Total","740"
"2018","470014801939","A. Maceo Walker Middle","TN","Unknown","0"
"2018","470014801939","A. Maceo Walker Middle","TN","Female","355"
"2018","470014801939","A. Maceo Walker Middle","TN","Male","385"
"2018","470318002116","A. Z. Kelley Elementary","TN","Total","835"
"2018","470318002116","A. Z. Kelley Elementary","TN","Unknown","0"
"2018","470318002116","A. Z. Kelley Elementary","TN","Female","415"
"2018","470318002116","A. Z. Kelley Elementary","TN","Male","420"
"2018","470219000710","Abraham Lincoln Elementary School","TN","Total","434"
"2018","470219000710","Abraham Lincoln Elementary School","TN","Unknown","0"
"2018","470219000710","Abraham Lincoln Elementary School","TN","Female","188"
"2018","470219000710","Abraham Lincoln Elementary School","TN","Male","246"
"2018","470288000997","Adamsville Elementary","TN","Total","530"
"2018","470288000997","Adamsville Elementary","TN","Unknown","0"
"2018","470288000997","Adamsville Elementary","TN","Female","252"
"2018","470288000997","Adamsville Elementary","TN","Male","278"
"2018","470288000998","Adamsville Junior / Senior High School","TN","Total","716"
"2018","470288000998","Adamsville Junior / Senior High School","TN","Unknown","0"
"2018","470288000998","Adamsville Junior / Senior High School","TN","Female","338"
"2018","470288000998","Adamsville Junior / Senior High School","TN","Male","378"
"2018","470222000717","Adrian Burnett Elementary","TN","Total","528"
"2018","470222000717","Adrian Burnett Elementary","TN","Unknown","0"
"2018","470222000717","Adrian Burnett Elementary","TN","Female","262"
"2018","470222000717","Adrian Burnett Elementary","TN","Male","266"
"2018","470003000001","Alamo Elementary","TN","Total","642"
"2018","470003000001","Alamo Elementary","TN","Unknown","0"
"2018","470003000001","Alamo Elementary","TN","Female","331"
"2018","470003000001","Alamo Elementary","TN","Male","311"
"2018","470006000234","Alcoa Elementary","TN","Total","489"
"2018","470006000234","Alcoa Elementary","TN","Unknown","0"
"2018","470006000234","Alcoa Elementary","TN","Female","237"
"2018","470006000234","Alcoa Elementary","TN","Male","252"
"2018","470006000235","Alcoa High School","TN","Total","682"
"2018","470006000235","Alcoa High School","TN","Unknown","0"
"2018","470006000235","Alcoa High School","TN","Female","320"
"2018","470006000235","Alcoa High School","TN","Male","362"
"2018","470006002445","Alcoa Intermediate School","TN","Total","435"
