year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,school_status,lowest_grade_offered,highest_grade_offered,enrollment,title_i_status,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual,lunch_program,teachers_fte,school_id,seasch,city_location,zip_location,latitude,longitude,urban_centric_locale,congress_district_id,state_leg_district_lower,state_leg_district_upper,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,direct_certification
"2018","510105000374","A G RICHARDSON ELEM","VA","CULPEPER CO PBLC SCHS","Primary","Regular school","No","Open","Pre-K","5","585","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes participating without using any Provision or the CEP","38","00374","024-0240240","Culpeper","22701","38.446877","-78.014164","Town, distant","5107","51030","51017","226","33","259",""
"2018","510084000314","A M DAVIS ELEM","VA","CHESTERFIELD CO PBLC SCHS","Primary","Regular school","No","Open","Pre-K","5","706","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","46","00314","021-0210620","North Chesterfield","23236","37.491755","-77.545679","Suburb, large","5107","51027","51010","367","51","418",""
"2018","510313002039","A. HENDERSON ELEM","VA","PRINCE WILLIAM CO PBLC SCHS","Primary","Regular school","No","Open","Pre-K","5","825","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","No","Yes participating without using any Provision or the CEP","43","02039","075-0750330","Dumfries","22025","38.621854","-77.343997","Suburb, large","5101","51031","51036","174","47","221",""
"2018","510003301933","A. LINWOOD HOLTON GOV. SCH.","VA","A. LINWOOD HOLTON GOV SCH","Ungraded","Regular school","No","Open","Ungraded","Ungraded","0","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","Yes","Yes","No","No","","01933","268-2680010","Abingdon","24210","36.696706","-82.00065","Suburb, small","5109","51004","51040","","","",""
"2018","510369001610","A. R. WARE ELEM","VA","STAUNTON CITY PBLC SCHS","Primary","Regular school","No","Open","Kindergarten","5","432","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","30","01610","126-1260040","Staunton","24401","38.160594","-79.098562","City, small","5106","51020","51024","185","30","215",""
"2018","510387001729","A.S. RHODES ELEM","VA","WARREN CO PBLC SCHS","Primary","Regular school","No","Open","Kindergarten","5","267","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","16","01729","093-0930090","Front Royal","22630","38.948126","-78.206363","Town, fringe","5106","51029","51026","80","15","95",""
"2018","510180000725","A.W.E. BASSETTE ELEM","VA","HAMPTON CITY PBLC SCHS","Primary","Regular school","No","Open","Pre-K","5","456","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","27","00725","112-1120500","Hampton","23661","37.016392","-76.375677","City, midsize","5103","51092","51002","395","0","395",""
"2018","510381001645","ABBS VALLEY-BOISSEVAIN ELEM","VA","TAZEWELL CO PBLC SCHS","Primary","Regular school","No","Open","Pre-K","5","172","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","9","01645","092-0921020","Bluefield","24605","37.26875","-81.39086","Rural, distant","5109","51003","51038","164","0","164",""
"2018","510180000726","ABERDEEN ELEM","VA","HAMPTON CITY PBLC SCHS","Primary","Regular school","No","Open","Pre-K","5","465","School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program","Yes","Yes","No","No","No","Yes participating without using any Provision or the CEP","29","00726","112-1120160","Hampton","23666","37.033529","-76.405417","City, midsize","5103","51092","51002","431","0","431",""
"2018","510390001735","ABINGDON ELEM","VA","WASHINGTON CO PBLC SCHS","Primary","Regular school","No","Open","Pre-K","5","462","School is eligible for Title I Targeted Assistance (TAS) and provides TAS program","Yes","","No","No","No","Yes participating without using any Provision or the CEP","35","01735","094-0941080","Abingdon","24210","36.713177","-82.016367","Suburb, small","5109","51004","51040","184","17","201",""
