year,ncessch,school_name,state_location,sex,enrollment
"2018","510105000374","A G RICHARDSON ELEM","VA","Total","585"
"2018","510105000374","A G RICHARDSON ELEM","VA","Unknown","0"
"2018","510105000374","A G RICHARDSON ELEM","VA","Female","294"
"2018","510105000374","A G RICHARDSON ELEM","VA","Male","291"
"2018","510084000314","A M DAVIS ELEM","VA","Total","706"
"2018","510084000314","A M DAVIS ELEM","VA","Unknown","0"
"2018","510084000314","A M DAVIS ELEM","VA","Female","355"
"2018","510084000314","A M DAVIS ELEM","VA","Male","351"
"2018","510313002039","A. HENDERSON ELEM","VA","Total","825"
"2018","510313002039","A. HENDERSON ELEM","VA","Unknown","0"
"2018","510313002039","A. HENDERSON ELEM","VA","Female","412"
"2018","510313002039","A. HENDERSON ELEM","VA","Male","413"
"2018","510003301933","A. LINWOOD HOLTON GOV. SCH.","VA","Total","0"
"2018","510003301933","A. LINWOOD HOLTON GOV. SCH.","VA","Unknown","0"
"2018","510003301933","A. LINWOOD HOLTON GOV. SCH.","VA","Female","0"
"2018","510003301933","A. LINWOOD HOLTON GOV. SCH.","VA","Male","0"
"2018","510369001610","A. R. WARE ELEM","VA","Total","432"
"2018","510369001610","A. R. WARE ELEM","VA","Unknown","0"
"2018","510369001610","A. R. WARE ELEM","VA","Female","199"
"2018","510369001610","A. R. WARE ELEM","VA","Male","233"
"2018","510387001729","A.S. RHODES ELEM","VA","Total","267"
"2018","510387001729","A.S. RHODES ELEM","VA","Unknown","0"
"2018","510387001729","A.S. RHODES ELEM","VA","Female","126"
"2018","510387001729","A.S. RHODES ELEM","VA","Male","141"
"2018","510180000725","A.W.E. BASSETTE ELEM","VA","Total","456"
"2018","510180000725","A.W.E. BASSETTE ELEM","VA","Unknown","0"
"2018","510180000725","A.W.E. BASSETTE ELEM","VA","Female","220"
"2018","510180000725","A.W.E. BASSETTE ELEM","VA","Male","236"
"2018","510381001645","ABBS VALLEY-BOISSEVAIN ELEM","VA","Total","172"
"2018","510381001645","ABBS VALLEY-BOISSEVAIN ELEM","VA","Unknown","0"
"2018","510381001645","ABBS VALLEY-BOISSEVAIN ELEM","VA","Female","77"
"2018","510381001645","ABBS VALLEY-BOISSEVAIN ELEM","VA","Male","95"
"2018","510180000726","ABERDEEN ELEM","VA","Total","465"
"2018","510180000726","ABERDEEN ELEM","VA","Unknown","0"
"2018","510180000726","ABERDEEN ELEM","VA","Female","241"
"2018","510180000726","ABERDEEN ELEM","VA","Male","224"
"2018","510027000081","ABINGDON ELEM","VA","Total","671"
"2018","510027000081","ABINGDON ELEM","VA","Unknown","0"
"2018","510027000081","ABINGDON ELEM","VA","Female","310"
"2018","510027000081","ABINGDON ELEM","VA","Male","361"
"2018","510162000677","ABINGDON ELEM","VA","Total","606"
"2018","510162000677","ABINGDON ELEM","VA","Unknown","0"
"2018","510162000677","ABINGDON ELEM","VA","Female","313"
"2018","510162000677","ABINGDON ELEM","VA","Male","293"
"2018","510390001735","ABINGDON ELEM","VA","Total","462"
"2018","510390001735","ABINGDON ELEM","VA","Unknown","0"
"2018","510390001735","ABINGDON ELEM","VA","Female","215"
"2018","510390001735","ABINGDON ELEM","VA","Male","247"
"2018","510390001736","ABINGDON HIGH","VA","Total","896"
"2018","510390001736","ABINGDON HIGH","VA","Unknown","0"
"2018","510390001736","ABINGDON HIGH","VA","Female","447"
"2018","510390001736","ABINGDON HIGH","VA","Male","449"
"2018","510084002983","ACADEMY 360","VA","Total","0"
"2018","510084002983","ACADEMY 360","VA","Unknown","0"
"2018","510084002983","ACADEMY 360","VA","Female","0"
"2018","510084002983","ACADEMY 360","VA","Male","0"
"2018","510189000805","ACADEMY AT VIRGINIA RANDOLPH","VA","Total","0"
"2018","510189000805","ACADEMY AT VIRGINIA RANDOLPH","VA","Unknown","0"
"2018","510189000805","ACADEMY AT VIRGINIA RANDOLPH","VA","Female","0"
"2018","510189000805","ACADEMY AT VIRGINIA RANDOLPH","VA","Male","0"
"2018","510267003018","ACADEMY FOR DISCOVERY AT LAKEWOOD","VA","Total","762"
"2018","510267003018","ACADEMY FOR DISCOVERY AT LAKEWOOD","VA","Unknown","0"
"2018","510267003018","ACADEMY FOR DISCOVERY AT LAKEWOOD","VA","Female","383"
"2018","510267003018","ACADEMY FOR DISCOVERY AT LAKEWOOD","VA","Male","379"
"2018","510006001737","ACCAWMACKE ELEM","VA","Total","502"
"2018","510006001737","ACCAWMACKE ELEM","VA","Unknown","0"
"2018","510006001737","ACCAWMACKE ELEM","VA","Female","246"
"2018","510006001737","ACCAWMACKE ELEM","VA","Male","256"
"2018","510264002343","ACHIEVABLE DREAM ACADEMY","VA","Total","639"
"2018","510264002343","ACHIEVABLE DREAM ACADEMY","VA","Unknown","0"
"2018","510264002343","ACHIEVABLE DREAM ACADEMY","VA","Female","329"
"2018","510264002343","ACHIEVABLE DREAM ACADEMY","VA","Male","310"
"2018","510264002344","ACHIEVABLE DREAM MIDDLE/HIGH","VA","Total","474"
"2018","510264002344","ACHIEVABLE DREAM MIDDLE/HIGH","VA","Unknown","0"
"2018","510264002344","ACHIEVABLE DREAM MIDDLE/HIGH","VA","Female","271"
"2018","510264002344","ACHIEVABLE DREAM MIDDLE/HIGH","VA","Male","203"
"2018","510126002674","ACHIEVEMENT INTEGRITY AND MATURITY","VA","Total","0"
"2018","510126002674","ACHIEVEMENT INTEGRITY AND MATURITY","VA","Unknown","0"
"2018","510126002674","ACHIEVEMENT INTEGRITY AND MATURITY","VA","Female","0"
"2018","510126002674","ACHIEVEMENT INTEGRITY AND MATURITY","VA","Male","0"
"2018","510162000678","ACHILLES ELEM","VA","Total","437"
"2018","510162000678","ACHILLES ELEM","VA","Unknown","0"
"2018","510162000678","ACHILLES ELEM","VA","Female","235"
"2018","510162000678","ACHILLES ELEM","VA","Male","202"
"2018","510212002151","ACQUINTON ELEM","VA","Total","500"
"2018","510212002151","ACQUINTON ELEM","VA","Unknown","0"
"2018","510212002151","ACQUINTON ELEM","VA","Female","265"
"2018","510212002151","ACQUINTON ELEM","VA","Male","235"
"2018","510189000813","ADAMS ELEM","VA","Total","454"
"2018","510189000813","ADAMS ELEM","VA","Unknown","0"
"2018","510189000813","ADAMS ELEM","VA","Female","217"
"2018","510189000813","ADAMS ELEM","VA","Male","237"
"2018","510147002437","ADMIRAL RICHARD E. BYRD MIDDLE","VA","Total","966"
"2018","510147002437","ADMIRAL RICHARD E. BYRD MIDDLE","VA","Unknown","0"
"2018","510147002437","ADMIRAL RICHARD E. BYRD MIDDLE","VA","Female","477"
"2018","510147002437","ADMIRAL RICHARD E. BYRD MIDDLE","VA","Male","489"
"2018","510111002467","ADULT & CAREER  EDUCATION CTR","VA","Total","0"
"2018","510111002467","ADULT & CAREER  EDUCATION CTR","VA","Unknown","0"
"2018","510111002467","ADULT & CAREER  EDUCATION CTR","VA","Female","0"
"2018","510111002467","ADULT & CAREER  EDUCATION CTR","VA","Male","0"
"2018","510189000537","ADULT EDUCATION CENTER","VA","Total","0"
"2018","510189000537","ADULT EDUCATION CENTER","VA","Unknown","0"
"2018","510189000537","ADULT EDUCATION CENTER","VA","Female","0"
"2018","510189000537","ADULT EDUCATION CENTER","VA","Male","0"
"2018","510384000684","ADULT LEARNING CTR.","VA","Total","0"
"2018","510384000684","ADULT LEARNING CTR.","VA","Unknown","0"
"2018","510384000684","ADULT LEARNING CTR.","VA","Female","0"
"2018","510384000684","ADULT LEARNING CTR.","VA","Male","0"
"2018","510189000807","ADVANCED CAREER EDUCATION CENTER AT HERMITAGE","VA","Total","0"
"2018","510189000807","ADVANCED CAREER EDUCATION CENTER AT HERMITAGE","VA","Unknown","0"
"2018","510189000807","ADVANCED CAREER EDUCATION CENTER AT HERMITAGE","VA","Female","0"
"2018","510189000807","ADVANCED CAREER EDUCATION CENTER AT HERMITAGE","VA","Male","0"
"2018","510189000810","ADVANCED CAREER EDUCATION CENTER AT HIGHLAND SPRINGS","VA","Total","0"
"2018","510189000810","ADVANCED CAREER EDUCATION CENTER AT HIGHLAND SPRINGS","VA","Unknown","0"
"2018","510189000810","ADVANCED CAREER EDUCATION CENTER AT HIGHLAND SPRINGS","VA","Female","0"
"2018","510189000810","ADVANCED CAREER EDUCATION CENTER AT HIGHLAND SPRINGS","VA","Male","0"
"2018","510384002430","ADVANCED TECHNOLOGY CTR.","VA","Total","0"
"2018","510384002430","ADVANCED TECHNOLOGY CTR.","VA","Unknown","0"
"2018","510384002430","ADVANCED TECHNOLOGY CTR.","VA","Female","0"
"2018","510384002430","ADVANCED TECHNOLOGY CTR.","VA","Male","0"
"2018","510009000002","AGNOR-HURT ELEM","VA","Total","482"
"2018","510009000002","AGNOR-HURT ELEM","VA","Unknown","0"
"2018","510009000002","AGNOR-HURT ELEM","VA","Female","225"
"2018","510009000002","AGNOR-HURT ELEM","VA","Male","257"
"2018","510384001671","ALANTON ELEM","VA","Total","634"
"2018","510384001671","ALANTON ELEM","VA","Unknown","0"
"2018","510384001671","ALANTON ELEM","VA","Female","308"
"2018","510384001671","ALANTON ELEM","VA","Male","326"
"2018","510009002796","ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER","VA","Total","46"
"2018","510009002796","ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER","VA","Unknown","0"
"2018","510009002796","ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER","VA","Female","22"
"2018","510009002796","ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER","VA","Male","24"
"2018","510009000015","ALBEMARLE HIGH","VA","Total","1914"
"2018","510009000015","ALBEMARLE HIGH","VA","Unknown","0"
"2018","510009000015","ALBEMARLE HIGH","VA","Female","905"
"2018","510009000015","ALBEMARLE HIGH","VA","Male","1009"
"2018","510240002616","ALBERT HARRIS ELEM","VA","Total","437"
"2018","510240002616","ALBERT HARRIS ELEM","VA","Unknown","0"
"2018","510240002616","ALBERT HARRIS ELEM","VA","Female","197"
"2018","510240002616","ALBERT HARRIS ELEM","VA","Male","240"
"2018","510324001351","ALBERT HILL MIDDLE","VA","Total","537"
"2018","510324001351","ALBERT HILL MIDDLE","VA","Unknown","0"
"2018","510324001351","ALBERT HILL MIDDLE","VA","Female","254"
"2018","510324001351","ALBERT HILL MIDDLE","VA","Male","283"
"2018","510084000462","ALBERTA SMITH ELEM","VA","Total","594"
"2018","510084000462","ALBERTA SMITH ELEM","VA","Unknown","0"
"2018","510084000462","ALBERTA SMITH ELEM","VA","Female","271"
"2018","510084000462","ALBERTA SMITH ELEM","VA","Male","323"
"2018","510126001103","ALC AT BRYANT","VA","Total","0"
"2018","510126001103","ALC AT BRYANT","VA","Unknown","0"
"2018","510126001103","ALC AT BRYANT","VA","Female","0"
"2018","510126001103","ALC AT BRYANT","VA","Male","0"
"2018","510126002862","ALC AT BURKE","VA","Total","0"
"2018","510126002862","ALC AT BURKE","VA","Unknown","0"
"2018","510126002862","ALC AT BURKE","VA","Female","0"
"2018","510126002862","ALC AT BURKE","VA","Male","0"
"2018","510126002790","ALC AT MONTROSE","VA","Total","0"
"2018","510126002790","ALC AT MONTROSE","VA","Unknown","0"
"2018","510126002790","ALC AT MONTROSE","VA","Female","0"
"2018","510126002790","ALC AT MONTROSE","VA","Male","0"
"2018","510126001106","ALC AT MOUNTAIN VIEW","VA","Total","0"
