year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2019","240048001446","A. Mario Loiederman Middle","MD","Montgomery County Public Schools","Middle","Regular school","No","999"
"2019","240009000143","Abbottston Elementary","MD","Baltimore City Public Schools","Primary","Regular school","No","409"
"2019","240039000679","Aberdeen High","MD","Harford County Public Schools","High","Regular school","No","1431"
"2019","240039000678","Aberdeen Middle","MD","Harford County Public Schools","Middle","Regular school","No","1203"
"2019","240039000162","Abingdon Elementary","MD","Harford County Public Schools","Primary","Regular school","No","724"
"2019","240009001381","Academy for College and Career Exploration","MD","Baltimore City Public Schools","High","Regular school","No","616"
"2019","240051001704","Academy of Health Sciences at PGCC","MD","Prince Georges County Public Schools","High","Regular school","No","563"
"2019","240036000662","Accident Elementary","MD","Garrett County Public Schools","Primary","Regular school","No","281"
"2019","240051001686","Accokeek Academy","MD","Prince Georges County Public Schools","Primary","Regular school","No","1637"
"2019","240009000236","Achievement Academy at Harbor City High","MD","Baltimore City Public Schools","High","Other/alternative school","No","433"
"2019","240051000965","Adelphi Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","775"
"2019","240012000910","Afternoon Group Learning Centers","MD","Baltimore County Public Schools","Missing/not reported","Other/alternative school","No",""
"2019","240009001661","Afya Public Charter School","MD","Baltimore City Public Schools","Middle","Regular school","Yes","228"
"2019","240048000773","Albert Einstein High","MD","Montgomery County Public Schools","High","Regular school","No","1818"
"2019","240009000145","Alexander Hamilton Elementary","MD","Baltimore City Public Schools","Primary","Regular school","No","160"
"2019","240003000001","Allegany High","MD","Allegany County Public Schools","High","Regular school","No","721"
"2019","240051000966","Allenwood Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","435"
"2019","240048001451","Alternative Programs","MD","Montgomery County Public Schools","High","Other/alternative school","No","126"
"2019","240051001683","Andrew Jackson Academy","MD","Prince Georges County Public Schools","Primary","Regular school","No","504"
"2019","240006000035","Annapolis Elementary","MD","Anne Arundel County Public Schools","Primary","Regular school","No","214"
"2019","240006000037","Annapolis High","MD","Anne Arundel County Public Schools","High","Regular school","No","2103"
"2019","240006000036","Annapolis Middle","MD","Anne Arundel County Public Schools","Middle","Regular school","No","1044"
"2019","240051000865","Annapolis Road Academy","MD","Prince Georges County Public Schools","Secondary","Other/alternative school","No","120"
"2019","240006000899","Anne Arundel Evening High","MD","Anne Arundel County Public Schools","High","Other/alternative school","No","296"
"2019","240051000969","Apple Grove Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","512"
"2019","240042002949","Applications and Research Laboratory","MD","Howard County Public Schools","Ungraded","Other/alternative school","No","0"
"2019","240012000341","Arbutus Elementary","MD","Baltimore County Public Schools","Primary","Regular school","No","404"
"2019","240012000342","Arbutus Middle","MD","Baltimore County Public Schools","Middle","Regular school","No","951"
"2019","240048001643","Arcola Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","748"
"2019","240051000970","Ardmore Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","435"
"2019","240048000409","Argyle Middle","MD","Montgomery County Public Schools","Middle","Regular school","No","1024"
"2019","240009000146","Arlington Elementary","MD","Baltimore City Public Schools","Primary","Regular school","No","392"
"2019","240009000147","Armistead Gardens Elementary/Middle","MD","Baltimore City Public Schools","Primary","Regular school","No","809"
"2019","240006000038","Arnold Elementary","MD","Anne Arundel County Public Schools","Primary","Regular school","No","543"
"2019","240051000971","Arrowhead Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","406"
"2019","240027000582","Arthur Middleton Elementary School","MD","Charles County Public Schools","Primary","Regular school","No","551"
"2019","240009000148","Arundel Elementary","MD","Baltimore City Public Schools","Primary","Regular school","No","523"
"2019","240006000040","Arundel High","MD","Anne Arundel County Public Schools","High","Regular school","No","2200"
"2019","240006000039","Arundel Middle","MD","Anne Arundel County Public Schools","Middle","Regular school","No","1068"
"2019","240048000776","Ashburton Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","922"
"2019","240042000718","Atholton Elementary","MD","Howard County Public Schools","Primary","Regular school","No","504"
"2019","240042000719","Atholton High","MD","Howard County Public Schools","High","Regular school","No","1460"
"2019","240009001387","Augusta Fells Savage Institute of Visual Arts","MD","Baltimore City Public Schools","High","Regular school","No","434"
"2019","240051000972","Avalon Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","374"
"2019","240051000973","Baden Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","209"
"2019","240024000556","Bainbridge Elementary","MD","Cecil County Public Schools","Primary","Regular school","No","284"
"2019","240039000680","Bakerfield Elementary","MD","Harford County Public Schools","Primary","Regular school","No","426"
"2019","240033090471","Ballenger Creek Elementary","MD","Frederick County Public Schools","Primary","Regular school","No","586"
"2019","240033090446","Ballenger Creek Middle","MD","Frederick County Public Schools","Middle","Regular school","No","817"
"2019","240009000150","Baltimore City College","MD","Baltimore City Public Schools","High","Regular school","No","1402"
"2019","240009001736","Baltimore Collegiate School for Boys","MD","Baltimore City Public Schools","Middle","Regular school","Yes","432"
"2019","240012001341","Baltimore County Home & Hospital","MD","Baltimore County Public Schools","Ungraded","Other/alternative school","No","0"
"2019","240009001703","Baltimore Design School","MD","Baltimore City Public Schools","High","Regular school","No","511"
"2019","240012000344","Baltimore Highlands Elementary","MD","Baltimore County Public Schools","Primary","Regular school","No","551"
"2019","240009001752","Baltimore International Academy West","MD","Baltimore City Public Schools","Primary","Regular school","Yes","69"
"2019","240009001631","Baltimore International Academy","MD","Baltimore City Public Schools","Primary","Regular school","Yes","736"
"2019","240009001682","Baltimore Leadership School for Young Women","MD","Baltimore City Public Schools","High","Regular school","Yes","539"
"2019","240009001657","Baltimore Montessori Public Charter School","MD","Baltimore City Public Schools","Primary","Regular school","Yes","456"
"2019","240009000151","Baltimore Polytechnic Institute","MD","Baltimore City Public Schools","High","Regular school","No","1584"
"2019","240009001391","Baltimore School for the Arts","MD","Baltimore City Public Schools","High","Regular school","No","438"
"2019","240009001733","Banneker Blake Academy of Arts and Sciences","MD","Baltimore City Public Schools","Missing/not reported","Regular school","Yes",""
"2019","240048000779","Bannockburn Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","461"
"2019","240051001697","Barack Obama Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","753"
"2019","240066001674","Barbara Ingram School for the Arts","MD","Washingtion County Public Schools","High","Regular school","No","303"
"2019","240009000152","Barclay Elementary/Middle","MD","Baltimore City Public Schools","Primary","Regular school","No","477"
"2019","240009001735","Bard High School Early College","MD","Baltimore City Public Schools","High","Regular school","No","446"
"2019","240051000974","Barnaby Manor Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","501"
"2019","240015001655","Barstow Elementary","MD","Calvert County Public Schools","Primary","Regular school","No","658"
"2019","240012000345","Battle Grove Elementary","MD","Baltimore County Public Schools","Primary","Regular school","No","346"
"2019","240012000346","Battle Monument School","MD","Baltimore County Public Schools","Other","Special education school","No","63"
