year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2019","370001201488","A G Cox Middle","NC","Pitt County Schools","Middle","Regular school","No","822"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","New Hanover County Schools","Primary","Regular school","No","392"
"2019","370243001039","A L Brown High","NC","Kannapolis City Schools","High","Regular school","No","1641"
"2019","370348001441","A L Stanback Middle","NC","Orange County Schools","Middle","Regular school","No","651"
"2019","370053000208","A T Allen Elementary","NC","Cabarrus County Schools","Primary","Regular school","No","824"
"2019","370037203324","A.C.E. Academy","NC","A.C.E. Academy","Primary","Regular school","Yes","402"
"2019","370472003241","Abbotts Creek Elementary","NC","Wake County Schools","Primary","Regular school","No","897"
"2019","370309001315","Aberdeen Elementary","NC","Moore County Schools","Primary","Regular school","No","332"
"2019","370309001314","Aberdeen Primary","NC","Moore County Schools","Primary","Regular school","No","322"
"2019","370003002972","ABSS Early College at ACC","NC","Alamance-Burlington Schools","High","Regular school","No","231"
"2019","370192002889","Academy at Smith","NC","Guilford County Schools","High","Regular school","No","196"
"2019","370045903534","Achievement Charter Academy","NC","Achievement Charter Academy","Missing/not reported","Regular school","Yes",""
"2019","370096000357","Acme Delco Elementary","NC","Columbus County Schools","Primary","Regular school","No","309"
"2019","370096000358","Acme Delco Middle","NC","Columbus County Schools","Middle","Regular school","No","125"
"2019","370472001826","Adams Elementary","NC","Wake County Schools","Primary","Regular school","No","568"
"2019","370465001993","AdVance Academy","NC","Vance County Schools","High","Other/alternative school","No","182"
"2019","370231003432","Agriculture and Science Early College","NC","Iredell-Statesville Schools","High","Regular school","No","202"
"2019","370216000931","Ahoskie Elementary","NC","Hertford County Schools","Primary","Regular school","No","248"
"2019","370046703528","Alamance Community School","NC","Alamance Community School","Missing/not reported","Regular school","Yes",""
"2019","370192000814","Alamance Elementary","NC","Guilford County Schools","Primary","Regular school","No","503"
"2019","370432000022","Albemarle High","NC","Stanly County Schools","High","Regular school","No","335"
"2019","370432000023","Albemarle Middle","NC","Stanly County Schools","Middle","Regular school","No","391"
"2019","370297001186","Albemarle Road Elementary","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","837"
"2019","370297001187","Albemarle Road Middle","NC","Charlotte-Mecklenburg Schools","Middle","Regular school","No","1104"
"2019","370331000380","Albert H Bangert Elementary","NC","Craven County Schools","Primary","Regular school","No","447"
"2019","370001100414","Alderman Road Elementary","NC","Cumberland County Schools","Primary","Regular school","No","694"
"2019","370009000028","Alexander Central High","NC","Alexander County Schools","High","Regular school","No","1205"
"2019","370009003396","Alexander Early College","NC","Alexander County Schools","High","Regular school","No","230"
"2019","370297001188","Alexander Graham Middle","NC","Charlotte-Mecklenburg Schools","Middle","Regular school","No","1358"
"2019","370003000001","Alexander Wilson Elementary","NC","Alamance-Burlington Schools","Primary","Regular school","No","618"
"2019","370001102981","Alger B. Wilkins High School","NC","Cumberland County Schools","High","Other/alternative school","No","155"
"2019","370012000037","Alleghany High","NC","Alleghany County Schools","High","Regular school","No","407"
"2019","370192000817","Allen Jay Elementary","NC","Guilford County Schools","Primary","Regular school","No","471"
"2019","370192003295","Allen Jay Middle - A Preparatory Academy","NC","Guilford County Schools","Middle","Regular school","No","404"
"2019","370192000757","Allen Middle","NC","Guilford County Schools","Middle","Regular school","No","775"
"2019","370297001190","Allenbrook Elementary","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","303"
"2019","370001102119","Alma O Easom Elementary","NC","Cumberland County Schools","Primary","Regular school","No","297"
"2019","370010302511","Alpha Academy","NC","Alpha Academy","Other","Regular school","Yes","913"
"2019","370472003214","Alston Ridge Elementary","NC","Wake County Schools","Primary","Regular school","No","1071"
"2019","370472003491","Alston Ridge Middle","NC","Wake County Schools","Middle","Regular school","No","892"
"2019","370003000002","Altamahaw-Ossipee Elementary","NC","Alamance-Burlington Schools","Primary","Regular school","No","616"
"2019","370008602465","American Renaissance School","NC","American Renaissance School","Primary","Regular school","Yes","590"
"2019","370038103322","Anderson Creek Academy","NC","Anderson Creek Academy","Primary","Regular school","Yes","262"
"2019","370201000874","Anderson Creek Primary","NC","Harnett County Schools","Primary","Regular school","No","576"
"2019","370078000317","Andrews Elementary","NC","Cherokee County Schools","Primary","Regular school","No","306"
"2019","370078000318","Andrews High","NC","Cherokee County Schools","High","Regular school","No","207"
"2019","370078001820","Andrews Middle","NC","Cherokee County Schools","Middle","Regular school","No","255"
"2019","370201000875","Angier Elementary","NC","Harnett County Schools","Primary","Regular school","No","380"
"2019","370001100406","Anne Chesnutt Middle","NC","Cumberland County Schools","Middle","Regular school","No","505"
"2019","370018002367","Anson Academy","NC","Anson County Schools","High","Other/alternative school","No","26"
"2019","370043703462","Anson Charter Academy","NC","Anson Charter Academy","Missing/not reported","Regular school","Yes",""
"2019","370018002748","Anson Co. Early College High","NC","Anson County Schools","High","Regular school","No","254"
"2019","370018002054","Anson High School","NC","Anson County Schools","High","Regular school","No","654"
"2019","370018002056","Anson Middle","NC","Anson County Schools","Middle","Regular school","No","732"
"2019","370018000042","Ansonville Elementary","NC","Anson County Schools","Primary","Regular school","No","164"
"2019","370462002740","Antioch Elementary","NC","Union County Public Schools","Primary","Regular school","No","885"
"2019","370472001827","Apex Elementary","NC","Wake County Schools","Primary","Regular school","No","653"
"2019","370472003351","Apex Friendship High","NC","Wake County Schools","High","Regular school","No","2618"
"2019","370472003470","Apex Friendship Middle","NC","Wake County Schools","Middle","Regular school","No","1137"
"2019","370472001829","Apex High","NC","Wake County Schools","High","Regular school","No","2170"
"2019","370472001828","Apex Middle","NC","Wake County Schools","Middle","Regular school","No","981"
"2019","370042703457","Appalachian Academy at Middle Fork","NC","Appalachian State U Academy Middle Fork","Primary","Regular school","No","280"
"2019","370210000797","Apple Valley Middle","NC","Henderson County Schools","Middle","Regular school","No","961"
"2019","370043903463","Apprentice Academy High School","NC","Apprentice Academy HS of NC","Secondary","Regular school","Yes","225"
"2019","370432001707","Aquadale Elementary","NC","Stanly County Schools","Primary","Regular school","No","341"
"2019","370003802343","Arapahoe Charter School","NC","Arapahoe Charter School","Other","Regular school","Yes","537"
"2019","370378001514","Archdale Elementary","NC","Randolph County School System","Primary","Regular school","No","367"
"2019","370378001515","Archdale-Trinity Middle","NC","Randolph County School System","Middle","Regular school","No","725"
"2019","370192000758","Archer Elementary","NC","Guilford County Schools","Primary","Regular school","No","410"
"2019","370237002998","Archer Lodge Middle","NC","Johnston County Public Schools","Middle","Regular school","No","1271"
"2019","370297002910","Ardrey Kell High","NC","Charlotte-Mecklenburg Schools","High","Regular school","No","3352"
"2019","370035003296","Aristotle Preparatory Academy","NC","Aristotle Preparatory Academy","Primary","Regular school","Yes","136"
"2019","370001102085","Armstrong Elementary","NC","Cumberland County Schools","Primary","Regular school","No","418"
"2019","370331002181","Arthur W Edwards Elementary","NC","Craven County Schools","Primary","Regular school","No","586"
"2019","370011702569","ArtSpace Charter School","NC","ArtSpace Charter","Primary","Regular school","Yes","399"
"2019","370268002392","Asbury Academy","NC","Lincoln County Schools","High","Other/alternative school","No","37"
"2019","370043803459","Ascend Leadership Academy: Lee County","NC","Ascend Leadership Academy: Lee County","Middle","Regular school","Yes","320"
"2019","370162000663","Ashbrook High","NC","Gaston County Schools","High","Regular school","No","1286"
"2019","370021003474","Ashe County Early College High","NC","Ashe County Schools","Secondary","Regular school","No","101"
"2019","370021002425","Ashe County High","NC","Ashe County Schools","High","Regular school","No","809"
"2019","370021002426","Ashe County Middle","NC","Ashe County Schools","Middle","Regular school","No","516"
"2019","370024000062","Asheboro High","NC","Asheboro City Schools","High","Regular school","No","1327"
"2019","370027000070","Asheville High","NC","Asheville City Schools","High","Regular school","No","1052"
"2019","370027000079","Asheville Middle","NC","Asheville City Schools","Middle","Regular school","No","662"
"2019","370027003436","Asheville Primary","NC","Asheville City Schools","Primary","Regular school","No","203"
"2019","370150002446","Ashley Academy","NC","Winston Salem / Forsyth County Schools","Primary","Regular school","No","423"
"2019","370387000788","Ashley Chapel Educational Center","NC","Richmond County Schools","High","Other/alternative school","No","61"
"2019","370001100394","Ashley Elementary","NC","Cumberland County Schools","Primary","Regular school","No","193"
"2019","370297001192","Ashley Park PreK-8 School","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","476"
"2019","370472001830","Athens Drive High","NC","Wake County Schools","High","Regular school","No","2091"
