year,ncessch,school_name,state_location,race,enrollment
"2019","370001201488","A G Cox Middle","NC","Total","822"
"2019","370001201488","A G Cox Middle","NC","Unknown","0"
"2019","370001201488","A G Cox Middle","NC","Two or more races","65"
"2019","370001201488","A G Cox Middle","NC","Native Hawaiian or other Pacific Islander","0"
"2019","370001201488","A G Cox Middle","NC","American Indian or Alaska Native","3"
"2019","370001201488","A G Cox Middle","NC","Asian","13"
"2019","370001201488","A G Cox Middle","NC","Hispanic","39"
"2019","370001201488","A G Cox Middle","NC","Black","415"
"2019","370001201488","A G Cox Middle","NC","White","287"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","Total","392"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","Unknown","0"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","Two or more races","26"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","Native Hawaiian or other Pacific Islander","0"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","American Indian or Alaska Native","1"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","Asian","0"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","Hispanic","34"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","Black","289"
"2019","370333001392","A H Snipes Academy of Arts/Des","NC","White","42"
"2019","370243001039","A L Brown High","NC","Total","1641"
"2019","370243001039","A L Brown High","NC","Unknown","0"
"2019","370243001039","A L Brown High","NC","Two or more races","91"
"2019","370243001039","A L Brown High","NC","Native Hawaiian or other Pacific Islander","0"
"2019","370243001039","A L Brown High","NC","American Indian or Alaska Native","4"
"2019","370243001039","A L Brown High","NC","Asian","17"
"2019","370243001039","A L Brown High","NC","Hispanic","560"
"2019","370243001039","A L Brown High","NC","Black","475"
"2019","370243001039","A L Brown High","NC","White","494"
"2019","370348001441","A L Stanback Middle","NC","Total","651"
"2019","370348001441","A L Stanback Middle","NC","Unknown","0"
"2019","370348001441","A L Stanback Middle","NC","Two or more races","33"
"2019","370348001441","A L Stanback Middle","NC","Native Hawaiian or other Pacific Islander","0"
"2019","370348001441","A L Stanback Middle","NC","American Indian or Alaska Native","2"
"2019","370348001441","A L Stanback Middle","NC","Asian","3"
"2019","370348001441","A L Stanback Middle","NC","Hispanic","279"
