year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2019","510105000374","A G RICHARDSON ELEM","VA","CULPEPER CO PBLC SCHS","Primary","Regular school","No","589"
"2019","510084000314","A M DAVIS ELEM","VA","CHESTERFIELD CO PBLC SCHS","Primary","Regular school","No","731"
"2019","510313002039","A. HENDERSON ELEM","VA","PRINCE WILLIAM CO PBLC SCHS","Primary","Regular school","No","804"
"2019","510003301933","A. LINWOOD HOLTON GOV. SCH.","VA","A. LINWOOD HOLTON GOV SCH","Ungraded","Regular school","No","0"
"2019","510369001610","A. R. WARE ELEM","VA","STAUNTON CITY PBLC SCHS","Primary","Regular school","No","425"
"2019","510387001729","A.S. RHODES ELEM","VA","WARREN CO PBLC SCHS","Primary","Regular school","No","254"
"2019","510180000725","A.W.E. BASSETTE ELEM","VA","HAMPTON CITY PBLC SCHS","Primary","Regular school","No","471"
"2019","510381001645","ABBS VALLEY-BOISSEVAIN ELEM","VA","TAZEWELL CO PBLC SCHS","Primary","Regular school","No","166"
"2019","510180000726","ABERDEEN ELEM","VA","HAMPTON CITY PBLC SCHS","Primary","Regular school","No","475"
"2019","510390001735","ABINGDON ELEM","VA","WASHINGTON CO PBLC SCHS","Primary","Regular school","No","440"
"2019","510162000677","ABINGDON ELEM","VA","GLOUCESTER CO PBLC SCHS","Primary","Regular school","No","598"
"2019","510027000081","ABINGDON ELEM","VA","ARLINGTON CO PBLC SCHS","Primary","Regular school","No","749"
"2019","510390001736","ABINGDON HIGH","VA","WASHINGTON CO PBLC SCHS","High","Regular school","No","890"
"2019","510084002983","ACADEMY 360","VA","CHESTERFIELD CO PBLC SCHS","Not applicable","Other/alternative school","No","0"
"2019","510189000805","ACADEMY AT VIRGINIA RANDOLPH","VA","HENRICO CO PBLC SCHS","Not applicable","Other/alternative school","No","0"
"2019","510267003018","ACADEMY FOR DISCOVERY AT LAKEWOOD","VA","NORFOLK CITY PBLC SCHS","Middle","Regular school","No","738"
"2019","510006001737","ACCAWMACKE ELEM","VA","ACCOMACK CO PBLC SCHS","Primary","Regular school","No","456"
"2019","510264002343","ACHIEVABLE DREAM ACADEMY","VA","NEWPORT NEWS CITY PBLC SCHS","Primary","Regular school","No","652"
"2019","510264002344","ACHIEVABLE DREAM MIDDLE/HIGH","VA","NEWPORT NEWS CITY PBLC SCHS","High","Regular school","No","470"
"2019","510126002674","ACHIEVEMENT INTEGRITY AND MATURITY","VA","FAIRFAX CO PBLC SCHS","Not applicable","Other/alternative school","No","0"
"2019","510162000678","ACHILLES ELEM","VA","GLOUCESTER CO PBLC SCHS","Primary","Regular school","No","403"
"2019","510212002151","ACQUINTON ELEM","VA","KING WILLIAM CO PBLC SCHS","Primary","Regular school","No","458"
"2019","510189000813","ADAMS ELEM","VA","HENRICO CO PBLC SCHS","Primary","Regular school","No","475"
"2019","510147002437","ADMIRAL RICHARD E. BYRD MIDDLE","VA","FREDERICK CO PBLC SCHS","Middle","Regular school","No","1034"
"2019","510111002467","ADULT & CAREER  EDUCATION CTR","VA","DANVILLE CITY PBLC SCHS","Not applicable","Other/alternative school","No","0"
"2019","510189000537","ADULT EDUCATION CENTER","VA","HENRICO CO PBLC SCHS","Not applicable","Other/alternative school","No","0"
"2019","510384000684","ADULT LEARNING CTR.","VA","VA BEACH CITY PBLC SCHS","Not applicable","Other/alternative school","No","0"
"2019","510189000807","ADVANCED CAREER EDUCATION CENTER AT HERMITAGE","VA","HENRICO CO PBLC SCHS","Not applicable","Vocational school","No","0"
"2019","510189000810","ADVANCED CAREER EDUCATION CENTER AT HIGHLAND SPRINGS","VA","HENRICO CO PBLC SCHS","Not applicable","Vocational school","No","0"
"2019","510384002430","ADVANCED TECHNOLOGY CTR.","VA","VA BEACH CITY PBLC SCHS","Not applicable","Vocational school","No","0"
"2019","510009000002","AGNOR-HURT ELEM","VA","ALBEMARLE CO PBLC SCHS","Primary","Regular school","No","475"
"2019","510384001671","ALANTON ELEM","VA","VA BEACH CITY PBLC SCHS","Primary","Regular school","No","648"
"2019","510009002796","ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER","VA","ALBEMARLE CO PBLC SCHS","Middle","Regular school","Yes","56"
"2019","510009000015","ALBEMARLE HIGH","VA","ALBEMARLE CO PBLC SCHS","High","Regular school","No","1950"
"2019","510240002616","ALBERT HARRIS ELEM","VA","MARTINSVILLE CITY PBLC SCHS","Primary","Regular school","No","427"
"2019","510324001351","ALBERT HILL MIDDLE","VA","RICHMOND CITY PBLC SCHS","Middle","Regular school","No","519"
"2019","510084000462","ALBERTA SMITH ELEM","VA","CHESTERFIELD CO PBLC SCHS","Primary","Regular school","No","618"
"2019","510126001103","ALC AT BRYANT","VA","FAIRFAX CO PBLC SCHS","Not applicable","Other/alternative school","No","0"
"2019","510126002862","ALC AT BURKE","VA","FAIRFAX CO PBLC SCHS","Not applicable","Other/alternative school","No","0"
"2019","510126002790","ALC AT MONTROSE","VA","FAIRFAX CO PBLC SCHS","Not applicable","Other/alternative school","No","0"
"2019","510126001106","ALC AT MOUNTAIN VIEW","VA","FAIRFAX CO PBLC SCHS","Not applicable","Other/alternative school","No","0"
