ncessch,per_pupil_state,American Indian or Alaska Native,Asian,Black,Hispanic,Native Hawaiian or other Pacific Islander,Total,Two or more races,Unknown,White,year,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,school_id
510006001737.0,9273.0,0.0,11.0,185.0,140.0,1.0,502.0,2.0,0.0,163.0,2019,ACCAWMACKE ELEM,VA,ACCOMACK CO PBLC SCHS,Primary,Regular school,No,37.6794,-75.6678,1737
510006001737.0,9273.0,0.0,11.0,185.0,140.0,1.0,502.0,2.0,0.0,163.0,2018,ACCAWMACKE ELEM,VA,ACCOMACK CO PBLC SCHS,Primary,Regular school,No,37.679438,-75.667814,1737
510006002028.0,9785.0,0.0,7.0,255.0,166.0,0.0,656.0,7.0,0.0,221.0,2019,ARCADIA HIGH,VA,ACCOMACK CO PBLC SCHS,High,Regular school,No,37.9253,-75.5501,2028
510006002028.0,9785.0,0.0,7.0,255.0,166.0,0.0,656.0,7.0,0.0,221.0,2018,ARCADIA HIGH,VA,ACCOMACK CO PBLC SCHS,High,Regular school,No,37.925259,-75.550073,2028
510006002434.0,8994.0,0.0,4.0,176.0,164.0,0.0,535.0,6.0,0.0,185.0,2019,ARCADIA MIDDLE,VA,ACCOMACK CO PBLC SCHS,Middle,Regular school,No,37.9247,-75.554,2434
510006002434.0,8994.0,0.0,4.0,176.0,164.0,0.0,535.0,6.0,0.0,185.0,2018,ARCADIA MIDDLE,VA,ACCOMACK CO PBLC SCHS,Middle,Regular school,No,37.924664,-75.553996,2434
510006000006.0,11037.0,0.0,3.0,39.0,9.0,0.0,244.0,4.0,0.0,189.0,2019,CHINCOTEAGUE ELEM,VA,ACCOMACK CO PBLC SCHS,Primary,Regular school,No,37.9379,-75.3579,6
510006000006.0,11037.0,0.0,3.0,39.0,9.0,0.0,244.0,4.0,0.0,189.0,2018,CHINCOTEAGUE ELEM,VA,ACCOMACK CO PBLC SCHS,Primary,Regular school,No,37.93794,-75.357877,6
510006000007.0,11661.0,1.0,1.0,42.0,12.0,1.0,293.0,1.0,0.0,235.0,2019,CHINCOTEAGUE HIGH,VA,ACCOMACK CO PBLC SCHS,High,Regular school,No,37.9428,-75.3638,7
510006000007.0,11661.0,1.0,1.0,42.0,12.0,1.0,293.0,1.0,0.0,235.0,2018,CHINCOTEAGUE HIGH,VA,ACCOMACK CO PBLC SCHS,High,Regular school,No,37.942756,-75.363801,7
510006000009.0,9562.0,3.0,1.0,208.0,148.0,1.0,582.0,4.0,0.0,217.0,2019,KEGOTANK ELEM,VA,ACCOMACK CO PBLC SCHS,Primary,Regular school,No,37.855829,-75.562299,9
510006000009.0,9562.0,3.0,1.0,208.0,148.0,1.0,582.0,4.0,0.0,217.0,2018,KEGOTANK ELEM,VA,ACCOMACK CO PBLC SCHS,Primary,Regular school,No,37.855829,-75.562299,9
